ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
བདུད་རབ་ཏུ་འཇོམས་པ|Māra­pramardaka
རྔ་བོ་ཆེ|Mardala drum
སྨིག་རྒྱུ|Marīci
སྨིག་རྒྱུ|Marīci
སྨིག་རྒྱུ|Mirage
ཕྲེང་མ་ཅན|Māriṇī
ཕྲེང་མ་ཅན|Māriṇī
མཱར་ཀཎ་ཌ|Markandeya
མརྒ་ཏི|Markaṭī
མརྒ་ཏི|Markaṭī
གྲོང་རྡལ|Market town
བྷལླ་ཏ་ཀ|Marking nut
ཕྱག་དང་ཞབས་ཀྱི་མཚན་དཔལ་གྱིས་འབར་བ|Markings on their palms and soles blaze with splendor
མར་པ་ཆོས་ཀྱི་བློ་གྲོས|Marpa Chökyi Lodrö
ཀོ་ཀི་ལཱ་ཀྱ|Marsh barbel
ལྷ|Marut
ལྷ|Marut
རྨད་དུ་བྱུང་བའི་སྡེ|Marvelous events
རྨད་དུ་བྱུང་བའི་སྡེ|Marvelous teachings
སྲན་མ|Kidney bean
མ་ཥ|Māṣa
མ་ཥ|Māṣa
མ་ས|Māṣa pulses
མ་ས|Māṣa pulses
མ་ས|Māṣa pulses
མ་ཤ་ཀ|Measure
དྲུག་ནམ|Māṣaka
དྲུག་ནམ|Māṣaka
ཀུན་ཏུ་རྒྱུ་གནག་ལྷས་ཀྱི་བུ|Māskārin Gośāli­putra
ཀུན་ཏུ་རྒྱུ་གནག་ལྷས་ཀྱི་བུ|Māskārin Gośāli­putra
དབུ་བ་རྡོས་པ|Mass of foam
བླ་མ|Master
སློབ་དཔོན|Master
བདག་པོ|Feudal master
འདུལ་བ་འཛིན་པ|Master of monastic discipline
ཤིན་ཏུ་སྦྱང་དཀའ|Difficult to Master
རྒྱལ་བར་དཀའ་བ|Difficult to Master
བླ་མ|Master
སློབ་དཔོན|Master
བདག་པོ|Feudal master
འདུལ་བ་འཛིན་པ|Master of monastic discipline
ཤིན་ཏུ་སྦྱང་དཀའ|Difficult to Master
རྒྱལ་བར་དཀའ་བ|Difficult to Master
འདུལ་བ་འཛིན་པ|Master of monastic discipline
གཞན་འཕྲུལ་དབང་བྱེད|Mastery Over Others’ Emanations
པོག|Mastic
མ་ལྡན|Mātali
མ་ལྡན|Mātali
གླང་པོ|Mātaṅga
གླང་པོ|Mātaṅga
དཔེ་མེད་པ|Matchless
རིལ་པོར་འཛིན་པ|Materialism
འཇིག་ཚོགས|Materiality
གནས་ལེན་གྱི་བུ|Māṭhara
གནས་ལེན་གྱི་བུ|Māṭhara
བཅོམ་བརླག|Mathurā
བཅོམ་བརླག|Mathurā
བློ་གྲོས|Intelligence
བློ་མ|Mati
བློ་མ|Mati
བློ་གྲོས|Mati
བློ་གྲོས|Mati
བློ་གྲོས|Mati
བློ་གྲོས|Mati
བློ་གྲོས|Intelligence
བློ་གྲོས་དབང་ཕྱུག|Matīśvara
བློ་གྲོས་དབང་ཕྱུག|Matīśvara
མ་མོ|Mātṛ
མ་མོ|Mātṛ
བུ་མེད|Mātṛ
བུ་མེད|Mātṛ
ཡུམ|Mātṛ
ཡུམ|Mātṛ
མ་མོ|Mātṛ
མ་མོ|Mātṛ
བུ་མེད|Mātṛ
བུ་མེད|Mātṛ
ཡུམ|Mātṛ
ཡུམ|Mātṛ
མ་བསད་པ|Matricide
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་མོ|Mātṛkā
མ་དགའ་བྱེད|Mātṛnandā
མ་དགའ་བྱེད|Mātṛnandā
བེའུ|Matsa
བེའུ|Matsa
གཟུགས|Matter
རང་བཞིན|Prakṛti
གཟུགས་ཁམས|Realm of pure matter
རྣམ་པར་སྨིན་པ|Maturation of past actions
སྐྱོན་མ་མཆིས་པ|Maturity
སྐྱོན་མེད|Maturity
ཡང་དག་པ་ཉིད་སྐྱོན་མེད་པ|Maturity of the genuine nature
ཆོས་སྐྱོན་མེད་པ་ཉིད|Maturity with respect to all things
ཡང་དག་པ་ཉིད་སྐྱོན་མེད་པ|Maturity of the genuine nature
ཆོས་སྐྱོན་མེད་པ་ཉིད|Maturity with respect to all things
མཽད་གལ་རིགས|Maudgalyagotra
མཽད་གལ་རིགས|Maudgalyagotra
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽདགལ་གྱི་བུ|Maudgalyāyana
མཽདགལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
མཽད་གལ་གྱི་བུ|Maudgalyāyana
ལྷ་མོ་སྒྱུ་འཕྲུལ|Māyādevī
ལྷ་མོ་སྒྱུ་འཕྲུལ|Māyādevī
ལྷ་མོ་སྒྱུ་འཕྲུལ|Māyādevī
ལྷ་མོ་སྒྱུ་འཕྲུལ|Māyādevī
ལྷ་མོ་སྒྱུ་འཕྲུལ|Māyādevī
ལྷ་མོ་སྒྱུ་འཕྲུལ|Māyādevī
གཞིའི་དོན|Meaning of the term
གཞི་མེད་པའི་དོན|Meaningless term
སྒྲུབ་ཐབས|Means for attainment
བསྡུ་བའི་དངོས་པོ|Means of attracting disciples
བསྡུ་བའི་དངོས་པོ་བཞི|Four means of attracting disciples
བསྡུ་བའི་དངོས་པོ|Means of unification
མ་ཤ་ཀ|Measure
ཚད་མ་མཆིས་པར་བགྱིད|Measure
སྲང་ལ་གཞལ་བའི་ཚད|Measure with weights
སྲང་ལ་གཞལ་བའི་ཚད|Measure with weights
ཡིད་གཞུངས་མ|Medhā
ཡིད་གཞུངས་མ|Medhā
འབྲས་བུའི་སྨན|Medicinal fruits
ལོ་མའི་སྨན|Medicinal leaves
རྩ་བའི་སྨན|Medicinal roots
སྡོང་བུའི་སྨན|Medicinal stalks
བསམ་གཏན|Meditation
བསམ་གཏན|Meditative absorption
སྙོམས་པར་འཇུག་པ|Meditative absorption
བསམ་གཏན|Meditative absorption
སྒྲོལ་མ་འབྱུང་བའི་ཏིང་ངེ་འཛིན|The Meditative Absorption of Tārā
མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ|Nine serial steps of meditative equipoise
ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of nothing-at-all
འདུ་ཤེས་མེད་མིན་གྱི་སྙོམས་འཇུག|Meditative absorption of neither perception nor non-perception
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of infinite space
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of infinite consciousness
འདུ་ཤེས་མེད་མིན་གྱི་སྙོམས་འཇུག|Meditative absorption of neither perception nor non-perception
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of infinite consciousness
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of infinite space
ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of nothing-at-all
ཏིང་ངེ་འཛིན|Meditative concentration
ཏིང་ངེ་འཛིན|Meditative concentration
བསམ་གཏན|Meditative concentration
དཔའ་བར་འགྲོ་བའི་ཏིང་ངེ་འཛིན|Meditative concentration of brave progression
བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ|Transcendent perfection of meditative concentration
དཔའ་བར་འགྲོ་བའི་ཏིང་ངེ་འཛིན|Meditative concentration of brave progression
ཏིང་ངེ་འཛིན|Meditative stability
ཏིང་ངེ་འཛིན་ཡང་དག|Correct meditative stability
ཏིང་ངེ་འཛིན་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག|Correct meditative stability
ཏིང་ངེ་འཛིན་གྱི་སྒོ|Gateways of meditative stability
ཏིང་ངེ་འཛིན་མཉམ་པ་ཉིད|Sameness of Meditative Stability
ཏིང་ངེ་འཛིན་གྱི་སྟོབས|Power of meditative stability
ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ|Aggregate of meditative stability
ཏིང་ངེ་འཛིན་གྱི་དབང་པོ|Faculty of meditative stability
ཏིང་ངེ་འཛིན་ཡང་དག|Correct meditative stability
ཏིང་ངེ་འཛིན་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག|Correct meditative stability
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|Adamantine meditative stability
ཡང་དག་པའི་ཏིང་ངེ་འཛིན|Correct meditative stability
གློག་ལྟ་བུའི་ཏིང་ངེ་འཛིན|Meditative stability that resembles lightning
ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ལྟར་རབ་ཏུ་གནས་པ|Consecrated as a King of Meditative Stability
ཏིང་ངེ་འཛིན་གྱི་སྒོ་ལྔ་བརྒྱ|Five hundred gateways of meditative stability
ཏིང་ངེ་འཛིན་ཉམས་པ་མེད་པ|Do not degenerate in their meditative stability
རྟོག་པ་དང་བཅས་དཔྱོད་པ་དང་བཅས་པའི་ཏིང་ངེ་འཛིན|Meditative stability endowed with ideation and scrutiny
ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བདེ|Joy and bliss that arise from meditative stability
རྟོག་པ་མེད་ལ་དཔྱོད་པ་ཙམ་གྱི་ཏིང་ངེ་འཛིན|Meditative stability free from ideation and merely endowed with scrutiny
རྟོག་པ་མེད་ལ་དཔྱོད་པ་ཙམ་གྱི་ཏིང་ངེ་འཛིན|Meditative stability free from both ideation and scrutiny
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་སྐད་ཅིག་གཅིག་དང་ལྡན་པའི་ཤེས་རབ|Wisdom that is instantaneously endowed with the adamantine meditative stability
ཡོངས་སུ་བཟུང་བ་མ་མཆིས་པའི་ཏིང་ངེ་འཛིན་གྱི་དཀྱིལ་འཁོར|Maṇḍala of the meditative stability of non-appropriation
འདུན་པའི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of resolution with the formative force of exertion
འདུན་པའི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of resolution with the formative force of exertion
དཔྱོད་པའི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of scrutiny with the formative force of exertion
དཔྱོད་པའི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of scrutiny with the formative force of exertion
བརྩོན་འགྲུས་ཀྱི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of perseverance with the formative force of exertion
བརྩོན་འགྲུས་ཀྱི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of perseverance with the formative force of exertion
སེམས་ཀྱི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of mind with the formative force of exertion
སེམས་ཀྱི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of mind with the formative force of exertion
རྟོག་པ་དང་བཅས་དཔྱོད་པ་དང་བཅས་པའི་ཏིང་ངེ་འཛིན|Meditative stability endowed with ideation and scrutiny
རྟོག་པ་མེད་ལ་དཔྱོད་པ་ཙམ་གྱི་ཏིང་ངེ་འཛིན|Meditative stability free from both ideation and scrutiny
རྟོག་པ་མེད་ལ་དཔྱོད་པ་ཙམ་གྱི་ཏིང་ངེ་འཛིན|Meditative stability free from ideation and merely endowed with scrutiny
གློག་ལྟ་བུའི་ཏིང་ངེ་འཛིན|Meditative stability that resembles lightning
བ་ཀུ་ལ|Medlar
འབྲུག་སྒྲ་རྒྱལ་པོ|Megharāja
འབྲུག་སྒྲ་རྒྱལ་པོ|Megharāja
སྤྲིན་གྱི་རྒྱལ་པོ|Megharāja
སྤྲིན་གྱི་རྒྱལ་པོ|Megharāja
འབྲུག་སྒྲ|Meghasvara
འབྲུག་སྒྲ|Meghasvara
སྤྲིན་སྒྲ་མར་མེ|Meghasvaradīpa
སྤྲིན་སྒྲ་མར་མེ|Meghasvaradīpa
སྤྲིན་སྒྲ་རྒྱལ་པོ|Meghasvararāja
སྤྲིན་སྒྲ་རྒྱལ་པོ|Meghasvararāja
སྤྲིན་དང་ལྡན་པ|Meghavatī
སྤྲིན་དང་ལྡན་པ|Meghavatī
སྤྲིན་དང་རྔ་སྒྲ་རྒྱལ་པོ|Megha­dundubhi­svara­rāja
སྤྲིན་དང་རྔ་སྒྲ་རྒྱལ་པོ|Megha­dundubhi­svara­rāja
སྤྲིན་བརྩེགས་འབྲུག་བསྒྲགས་དབྱངས|Megha­kūṭābhigarjitasvara
སྤྲིན་བརྩེགས་འབྲུག་བསྒྲགས་དབྱངས|Megha­kūṭābhigarjitasvara
དབྱངས་ཀྱིས་བསྙད་པའི་སྡེ|Melodic verses
མཆོད་རྟེན|Memorial
གཟུངས|Memory
དམན་པའི་སྤྱོད་པ|Menial tasks
སྤྲོས་པ|Mental activity
ཉོན་མོངས་པ|Mental affliction
རྒོད་པ|Mental agitation
ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ|Mental cognition
ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ|Mental consciousness
ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ|Mental consciousness
ཡིད་ཀྱི་རྣམ་པར་ཤེས་པའི་ཁམས|Sensory element of mental consciousness
རྣམ་པར་རྟོག་པ|Mental construct
ཀུན་ཏུ་རྟོག་པ|Mental construction
ཀུན་ཏུ་རྟོག་པ|Complete mental construction
ཡིད|Mental faculty
ཡིད་ཀྱི་སྐྱེ་མཆེད|Sense field of the mental faculty
ཡིད་ཀྱི་ཁམས|Sensory element of the mental faculty
མཚན་མ|Mental image
ཆོས|Mental phenomena
ཆོས་ཀྱི་སྐྱེ་མཆེད|Sense field of mental phenomena
ཆོས་ཀྱི་ཁམས|Sensory element of mental phenomena
ཡིད་ཡོངས་སུ་དག་པ|Mental purity
ཞི་གནས|Mental quiescence
སེམས་ཀྱི་མཚན་མ|Mental sign
བསམ་གཏན|Mental stability
ཡིད་རྣམ་པར་རྒྱུ་བ|Mental wandering
འདུ་བྱེད|Mentation
སེམས་པའི་ཟས|Nourishment of mentation
སེམས་མེད་པ|Free from Mentation
སེམས་མེད་པར་གནས་པ|Abiding Without Mentation
དེ་བཞིན་ཉིད་ལ་གནས་ཤིང་སེམས་མེད་པ|Abiding in the Real Nature Without Mentation
རྗེའུ་རིགས|Mercantile class
ཚོང་དཔོན|Merchants
བཏགས་པ་ཙམ་དུ་ཟད|Merely conceptualized
མིང་ཙམ|Merely names
འདོད་དུ་ཟད|Merely wishes
བསོད་ནམས|Merit
བསོད་ནམས|Merit
བསོད་ནམས|Merit
ཚངས་པའི་བསོད་ནམས|Merit of Brahmā
བསོད་ནམས་སྐྱེས|Heaven of Increased Merit
བསྔོ་བ|Dedicate the merit
བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་ཚོགས|Stores of merit and wisdom
ཚངས་པའི་བསོད་ནམས|Merit of Brahmā
རི་རབ|Mount Meru
རི་རབ|Meru
རི་རབ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
རི་རབ|Mount Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
ལྷུན་པོ|Meru
རི་རབ|Meru
རི་རབ|Meru
རི་རབ|Mount Meru
རི་རབ|Mount Meru
རི་རབ|Mount Meru
རི་རབ|Mount Meru
རི་རབ|Mount Meru
ལྷུན་པོའི་རྒྱལ་མཚན|Merudhvaja
ལྷུན་པོའི་རྒྱལ་མཚན|Merudhvaja
ལྷུན་པོའི་རྒྱལ་མཚན|Merudhvaja
ལྷུན་པོའི་རྒྱལ་མཚན|Merudhvaja
ལྷུན་པོ་རྒྱལ་མཚན|Merudhvaja
ལྷུན་པོ་རྒྱལ་མཚན|Merudhvaja
ལྷུན་པོ་ལྟ་བུ|Merukalpa
ལྷུན་པོ་ལྟ་བུ|Merukalpa
ལྷུན་པོ་བརྩེགས་པ|Merukūṭa
ལྷུན་པོ་བརྩེགས་པ|Merukūṭa
ལྷུན་པོ་བརྩེགས་པ|Merukūṭa
ལྷུན་པོ་བརྩེགས་པ|Merukūṭa
ལྷུན་པོ་བརྩེགས|Merukūṭa
ལྷུན་པོ་བརྩེགས|Merukūṭa
ལྷུན་པོའི་སྒྲོན་མ|Merupradīpa
ལྷུན་པོའི་སྒྲོན་མ|Merupradīpa
ལྷུན་པོའི་རྒྱལ་པོ|Merurāja
ལྷུན་པོའི་གླན་ཆེན|Merurāja
ལྷུན་པོའི་རྒྱལ་པོ|Merurāja
ལྷུན་པོའི་གླན་ཆེན|Merurāja
ལྷུན་པོའི་དབྱངས|Merusvara
ལྷུན་པོའི་དབྱངས|Merusvara
ལྷུན་པོའི་སྒྲོན་མའི་རྒྱལ་པོ|Meru­pradīpa­rāja
ལྷུན་པོའི་སྒྲོན་མའི་རྒྱལ་པོ|Meru­pradīpa­rāja
ལྷུན་པོ་མར་མེའི་རྒྱལ་པོ|Meru­pradīpa­rāja
ལྷུན་པོ་མར་མེའི་རྒྱལ་པོ|Meru­pradīpa­rāja
ལྷུན་པོའི་རྩེ་མོ་འཛིན|Meru­śikhara­dhara
ལྷུན་པོའི་རྩེ་མོ་འཛིན|Meru­śikhara­dhara
ལྷུན་པོའི་རྩེ་མོ་ཀུན་གཡོ་བར་བྱེད་པའི་རྒྱལ་པོ|Meru­śikhara­saṁghaṭṭana­rāja
ལྷུན་པོའི་རྩེ་མོ་ཀུན་གཡོ་བར་བྱེད་པའི་རྒྱལ་པོ|Meru­śikhara­saṁghaṭṭana­rāja
ཚིགས་སུ་བཅད་པའི་སྡེ|Metered verses
ཚུལ་ལས|Methodically
བསྡུ་བ|Methods of attracting disciples
ཡུལ་དབུས|Middle Country
ཤོ་ན་ཀ|Midnight horror
ཀླུ་ཆེན་པོ|Mighty nāga
དབང་པོ|Mighty One
སེམས|Mind
རིན་ཆེན་སེམས|Precious Mind
སེམས་མེད|Non-mind
ཉོན་མོངས་པའི་ཡིད|Afflicted mind
ཡིད་རྩེ་གཅིག|One-pointed mind
བྱང་ཆུབ་ཀྱི་སེམས|Mind of enlightenment
རྒྱ་ཆེན་པོའི་སེམས|Mind of vast extent
སེམས་ཀྱི་གནས་པ|State of mind
སེམས་གནས་པ|Stability of Mind
སེམས་རྩེ་གཅིག་པ|One-pointedness of mind
སྐུ་གསུང་ཐུགས|Enlightened body, speech, and mind
བྱང་ཆུབ་སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
ཟླ་བའི་ཐུགས|Whose Mind is Like the Moon
བྱང་ཆུབ་སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
བྱང་ཆུབ་སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
བྱང་ཆུབ་སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
སེམས་སུ་བསྐྱེད་པ|Setting of the mind on enlightenment
མཚུངས་པར་ལྡན་པའི་སེམས|Mind with its [five aspects of] concomitance
སེམས་བསྐྱེད་དང་པོ|Initial setting of the mind on enlightenment
སེམས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ|Application of mindfulness which, with regard to the mind, observes the mind
བྱང་ཆུབ་ཀྱི་སེམས་བསྐྱེད|Generating the altruistic mind set on attaining awakening
སེམས་ཀྱི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of mind with the formative force of exertion
སེམས་ཀྱི་ཏིང་ངེ་འཛིན་སྤང་བའི་འདུ་བྱེད་དང་ལྡན་པའི་རྫུ་འཕྲུལ་གྱི་རྐང་པ|Support for miraculous ability combining meditative stability of mind with the formative force of exertion
ཟག་པ་ཟད་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge that through one’s own extrasensory powers one has actualized, achieved, and maintained in this very lifetime the liberation of mind and the liberation of wisdom in the state that is free from contaminants because all contaminants have ceased
ཟག་པ་ཟད་པ|Definitive knowledge that through one’s own extrasensory powers one has actualized, achieved, and maintained in this very lifetime the liberation of mind and the liberation of wisdom in the state that is free from contaminants because all contaminants have ceased
ཟག་པ་ཟད་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge that through one’s own extrasensory powers one has actualized, achieved, and maintained in this very lifetime the liberation of mind and the liberation of wisdom in the state that is free from contaminants because all contaminants have ceased
ཟག་པ་ཟད་པ|Definitive knowledge that through one’s own extrasensory powers one has actualized, achieved, and maintained in this very lifetime the liberation of mind and the liberation of wisdom in the state that is free from contaminants because all contaminants have ceased
བྱང་ཆུབ་ཀྱི་སེམས|Mind of enlightenment
རྒྱ་ཆེན་པོའི་སེམས|Mind of vast extent
མཚུངས་པར་ལྡན་པའི་སེམས|Mind with its [five aspects of] concomitance
དྲན་པ་དང་ལྡན་པ|Mindful
དྲན་པ|Mindfulness
དྲན་པ་ཉེ་བ་གཞག་པ|Mindfulness
དྲན་པ|Mindfulness
ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ|Appropriate mindfulness
ལུས་སུ་གཏོགས་པ་དྲན་པ|Bodily mindfulness
དྲན་པ་ཉེ་བར་བཞག་པ|Applications of mindfulness
དྲན་པ་ཉེ་བར་བཞག་པ|Applications of mindfulness
དྲན་པ་ཉེ་བར་གཞག་པ|Four foci of mindfulness
ཡང་དག་པའི་དྲན་པ་ཉེ་བར་བཞག་པ་བཞི|Four placements of mindfulness
དྲན་པ་ཉེ་བར་གཞག་པ་བཞི|Four applications of mindfulness
དྲན་པ་ཉེ་བར་གཞག་པ|Applications of mindfulness
དྲན་པའི་དབང་པོ|Faculty of recollection
དྲན་པ་ཉེ་བར་གཞག་པ་བཞི|Four foundations of mindfulness
རྗེས་སུ་དྲན་པ་དྲུག|Six kinds of mindfulness
དྲན་པ་ཉེ་བར་གཞག་པ་བཞི|Four close applications of mindfulness
ཆོས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ|Application of mindfulness which, with regard to phenomena, observes phenomena
ཚོར་བའི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ|Application of mindfulness which, with regard to feelings, observes feelings
ལུས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ|Application of mindfulness which, with regard to the physical body, observes the physical body
སེམས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ|Application of mindfulness which, with regard to the mind, observes the mind
བླ་ན་མེད་པའི་སེམས|Minds that are not surpassed
སེམས|Mindset
བདག་གི|Mine
བདག་དང་བདག་གིས་སྟོང་པ|Empty of notions of “I” and “mine”
བདག་དང་བདག་གིས་སྟོང་པ|Empty of notions of “I” and “mine”
བདག་དང་བདག་གིས་སྟོང་པ|Empty of notions of “I” and “mine”
བདག་དང་བདག་གིས་སྟོང་པ|Empty of notions of “I” and “mine”
བདག་དང་བདག་གིས་སྟོང་པ|Empty of notions of “I” and “mine”
བདག་དང་བདག་གིས་སྟོང་པ|Empty of notions of “I” and “mine”
བློན་པོ|Minister
ཙི་ན་བིསྟ|Minium
ཆོ་འཕྲུལ|Miracle
རྫུས་སྐྱེས|Miraculous birth
ཆོ་འཕྲུལ|Miraculous fortune telling
སྨིག་རྒྱུ|Mirage
མེ་ལོང་ལྟ་བུའི་ཡེ་ཤེས|Mirror-like wisdom
མེ་ལོང་ལྟ་བུའི་ཡེ་ཤེས|Mirror-like wisdom
ཕྱིན་ཅི་ལོག་པ|Misconception
རྟོག|Misconstrue
ཡིད་ལ་གཅགས་པ|Miserable
སེར་སྣ|Miserliness
སེར་སྣ|Miserliness
འདྲེས་པའི་ནགས་ཚལ|Miśraka Garden
སྐྲ་འདྲེས་མ|Miśrakeśī
སྐྲ་འདྲེས་མ|Miśrakeśī
ལྟ་བ་ཕྱིན་ཅི་ལོག་པ|Mistaken view
བཅོམ་བརླག|Mithilā
བཅོམ་བརླག|Mithilā
གཟུངས|Mnemonic incantation
གཟུངས་ཀྱི་སྒོ|Gateways of mnemonic incantation
གཟུངས་ཀྱི་སྒོ་ལྔ་བརྒྱ|Five hundred gateways of mnemonic incantation
འགྲོས|Mode
ཁྲེལ་ཡོད|Modesty
བུ་རམ་གྱི་དབུ་བ|Molasses
ལ་སི་ཀཾ|Molasses
གཙུག་ལག་ཁང|Monastery
གཙུག་ལག་ཁང|Monastery
རྡུལ་ཟན|Monastic cloak
རྔུལ་ཟན|Monastic cloak
དགེ་འདུན|Monastic community
མཁན་པོ|Monastic preceptor
དགེ་སློང|Monk
དགེ་སློང|Monk
དགེའ་སློང|Monk
དགེ་སློང་ཞལ་ཏ་བྱེད་པ|Monk caretaker
ཞུ་བའི་དགེ་སློང|Monk petitioner
ཡུལ་ལས་བྱེད་པའི་དགེ་འདུན|Competent monk
དགེ་སློང་ཚུར་ཤོག་གི་བསྙེན་པར་རྫོགས་པ|“Come, join me, monk.”
དགེ་སློང་ཚུར་ཤོག་གི་བསྙེན་པར་རྫོགས་པ|“Come, join me, monk.”
དགེ་སློང|Fully ordained monk
དགེ་སློང་ཞལ་ཏ་བྱེད་པ|Monk caretaker
ཞུ་བའི་དགེ་སློང|Monk petitioner
དགེ་སློང་གི་དངོས་པོ|Monkhood
དགེ་སློང་རྙེད་པ་སྟོབས་པ|Monks in charge of supplies
ཟླ་བ|Moon
རི་བོང་ཅན|Moon
ཟླ་བ|Moon
