ཀ|{stambha}
སྨོན་ལམ་རབ་ཏུ་འདེབས་པར་བགྱིད|{praNirthi karomi}
སླན་ཆད་བདག་ནི་ཡོང་མི་བགྱིད|{na kartavyaM punarnayA}
བསྟི་སྟང་བགྱིད|{satkuryAt}
མི་བགྱིད་དོ|{na prakaromi}
དྲན་པར་བགྱིད|{smarAmi}
འབུལ་བར་བགྱིད|{anuprayacchati}
མྱ་ངན་བགྱིད|{zocAmi}
ཡང་དག་འདའ་བགྱིད་ཅིང|{samatikramAmi}
ཐོས་པར་བགྱིད|{saMzrAvayeran}
སྦྱིན་པར་བགྱིད|{dadyAt}
ངུ་བར་བགྱིད|{rudanta}
སྐྱེ་བཔ་དང་མི་མང་པོས་གང་བ་བགྱིད་དུ་སྩོལ་བ|{AkIrNabahujanamanuSya}
བགྱིད་དུ་སྩལ|{yojayet}
བགྱིད་དུ་སྟལ་བ|{kArita}
བགྱིད་དུ་སྩོལ་བར་འཚལ|{kArayitukAma}
སྟོབས་སུ་བགྱིད་པའི་ལས་རྣམས|{ba+karaNIyANi karmANi}
དུས་བགྱིད་པ|{kAlaM karoti}
སྤྱོད་བགྱིད་པ|{cariSyAmi}
དགེ་བའི་གྲོགས་བགྱིད་པ|{kalyArNAmatrasahAyaka}
འཐོར་པར་བགྱིད་པ|{saMprApaka}
རབ་ཏུ་སྦྱིན་པར་བགྱིད་པ|{pradAtR}
བགྱིད་པར་འགྱུར|{1) kariSyati, kariSyanti 2) kArayet}
བགྱིད་པས|{kRtvA}
བགྱིད་འཚལ་བ|{1) kartukAma 2) kArayitukAma}
འཐུན་པར་བགྱིས་ཏེ|{samagrA bhaviSyAmaH}
སྣང་བ་བགྱིས་པར་འགྱུར|{avabhAsitAni bhaviSyanti}
སྣང་བར་བགྱིས|{prabhAsita}
ལུས་མི་དགའ་བར་བགྱིས་ཏེ|{adRzyairAtmabhavaiH}
བགྱིས་པ|{1) Acita 2) 3) kRta 4) 5)}
བྱང་བགྱིས་པ|{kSayaMkarin}
ཉེས་པར་བགྱིས་པ|{duSkRta}
ཕྱག་བགྱིས་པ|{namaskRta}
བསྒྲིབས་བགྱིས་པ|{AvRta}
སྣང་བར་བགྱིས་པ|{AbhAsita}
རྗེས་སུ་ཡི་རང་གང་བགྱིས་པ|{yaccAnumoditaM kiMcid}
བགྱིས་ཤིང་བསགས་པས|{kRtatvAd upacitatvAt}
བགྲང|{1) saMkhyA 2) saMkhyeya}
བགྲང་རྟོགས་ཕྲག་བརྒྱ་ན་སྒྲིབ་པ་ཞེས་བྱའོ|{zataM gaNanAgatInAM nIvaraNaM nAmocyate}
བགྲང་དུ་མེད་པ|{asaMkhyeya}
བགྲང་དུ་མེད་པ་ལ་བསྒྲེགས་པ|{asaMkhyeyaparivarta}
བགྲང་འཕྲེང|{akSamAla, japamAlA}
བགྲང་བ་ཡང་འཐོབ་པར་འགྱུར་རོ|{saMkhyAm gacchati}
བགྲང་བར་ཡང|{gaNanAmapi}
བགྲང་ཡལ|{1) avara 2) havava}
བགྲང་ཡས|{havava}
བགྲང་ཡོལ|{ameya}
བགྲང་ཡོལ་ལ་བསྒྲེས་པ|{ameyaparivarta}
བགྲངས་ན|{gaNayitvA}
བགྲངས་པ|{saMkhyeya}
བགྲངས་པ་ལ་འདས་པ|{gaNanAsamatikrAnta}
བགྲམ་པ|{vyasta}
བགྲུ་བ|{secana}
བགྲེང་ཕྲེང|{japamAlA}
བགྲེས་པ|{vRddha}
བགྲེས་པོ|{vRddha}
བགྲེས་མོས་ཞུས་པ|{mahallikApari+opRcchA}
བགྲོ|{saMgIta}
བགྲོ་བའི་ཁང་པ|{saMgItiprAsAda}
ཡང་དག་པར་བགྲོ་བར་བྱའོ|{saMgamiSyAmaH}
བགྲོངས|{ghAtana}
བགྲོངས་པ|{praghAtayAmi}
བགྲོད|{1) vrajanti 2)}
བྱེས་བགྲོད|{pravAsa (?)}
བགྲོད་དཀའ་བ|{1) durga 2) durgama}
བགྲོད་དཀའ་བའི་གནས|{kAntAra}
བགྲོད་དཀའ་བའི་ལམ|{durgamapatha}
བགྲོད་པ|{1) ayana 2) gata 3) gati 4) yAtrA 5) yAna}
བགྲོད་པ་གཅིག|{ekAyana}
བགྲོད་པ་གཅིག་པ|{ekAyana}
བགྲོད་པར་བྱས་པ|{yAnIkRta}
བགྲོད་བྱ|{kalatra}
བགྲོད་ཡས|{vicAra}
བགྲོད་ཤོག|{prayAyAt}
མགར་སྤྱོད|{1) karmAracaryA 2) karmArabhandIkA}
མགར་བ|{1) ayaskara 2) karmakAra 3) karmAra 4) lohakAra 5) lohakAraka 6) sukarmAra}
མགལ་དུམ|{vanyAlAta}
མགལ་མེ|{alAta}
མགལ་མེ་བསྐོར་བ|{alAtacakra}
མགལ་མེའི་འཁོར་ལོ|{alAtacakra}
མགུ|{1) ArAdhana 2) tuSTa 3) toSa 4) 5) prAmodya 6) prahRSTa}
རྒྱལ་པོ་ལྟ་ཞིག་མགུ་ན་ཡང|{tuSTaH nRpatir}
མི་མགི་ན|{na toSitAH}
མི་མགི|{daurmanasya}
མགུ་བ|{1) udagra 2) udagrin 3) 4) tuSTi 5) saMtoSa 6) saumanasya 7) hRSTa 8) hlAdana}
དགའ་བ་དང་མགུ་བ|{hRSTatuSTa}
མགུ་བ་བྱ་བ|{ArAdhanA}
མགུ་བར་དཀའ|{durArAdha}
མགུ་བར་བྱ|{ArAdhayet}
མགུ་བར་བྱ་བ|{1) ArAgaNa 2) ArAdhana 3) mAnApya 4) saMtoSaNa}
མགུ་བར་བྱས|{mAnApya}
མགུ་བར་མཛད|{prINAti}
མགུ་བྱ|{ArAdhana}
མགུ་བྱས|{ArAdhya}
མགུ་བྱས་ཏེ|{ArAdhayet}
མགུ་བྱེད|{rAdhA}
མགུ་བྱེད་སྦས|{rAdhAgupta}
མགུར|{1) kaNTha 2)}
དགའ་མགུར|{svairas}
མགུལ|{1) kaNTha 2) grIva 3) skandha}
མགུལ་རྒྱན|{1) kaNThAbharaNa 2) rucaka 3) harSa}
མགུལ་སྒྲ་ངར་པོས་འགགས་པ|{kharukharAvasaktakaNTha}
མགུལ་ངེས|{nIlakaNTha, nIlakandhara}
མགྲིན་སྔོན|{nIlakaNTha, nIlakandhara}
མགུལ་གདུབ|{harSa}
མགུལ་ན་ནོ་ར་བུ|{maNikaNTha}
མགུལ་པ|{1) kaNTha 2) kandhara 3) gala 4) grIvA 5) lola}
མགུལ་པ་སྒྲ་ངར་ངར་པོས་འགགས་པ|{kharukharAvasaktakaNTha}
མགུལ་པ་གསུམ་པ|{trikaNTha}
མགུལ་སྩལ་པའི་སྒྲ|{utkAsana}
མགུལ་རིང|{atigrIva}
མགུལ་རིངས་ཆེས་པ|{atigrIva}
མགོ|{1) pramukha 2) phaNA 3) mastaka 4) mArgasIrSa 5) mukha 6) mUrdhan 7) mRgaziras 8) mRgazIrSa 9) zikhara 10) ziras 11) zIrSa 12) ° zIrSaka 13) zRga 14)}
ཡན་ལག་གི་དམ་པ་མགོ|{uttabhAMga}
མགོ་དཀྲིས|{dhiroveSTita}
མགོ་དཀྲིས་པ་ལ་ཆོས་མི་བཤད|{na veSTitazirase dharmaM dezayiSyAmaH}
མགོ་སྐྱ་བ|{pAlitya}
མགོ་ཁྱིའི་ལྟ་བུ|{zvazIrSa}
མགོ་གློག|{1) utpika 2) uvyadha}
མགོ་རྒྱན|{1) dIkSatA (?) 2) muNDAbharaNa 3) mUrdhAbharaNa}
མགོ་ཅོད་པན་ཅན་ལ་ཆོས་མི་བཤད|{na maulIzirase dharmaM dezayiSyAmaH}
མགོ་གཅིག|{ekAMza}
མགོ་གཅིག་ཏུ་ལན་གདབ་པ|{ekAMzena kyAkaraNam}
མགོ་གཅིག་ཏུ་ལུང་བསྟན་པ|{ekAMzavyAkaraNa}
མགོ་གཅིག་དང་རྣམ་པར་དབྱེ་བ་དང་དྲིས་ཏེ་ལན་གདབ་པ་རྣམ་པར་བཞག་པ|{ekAMzena vibhajyaparipRcchAvyAkaraNavyavasthApanam}
མགོ་ལྕོགས|{stabaka}
མགོ་མཇུག་ཏུ་བརྟགས་ཏེ|{itazcAmutazca nirIkSya}
མགོ་ལྗི་ཡོག་པ|{muDabhAri}
མགོ་སྙུང|{liMgaziras}
མགོ་སྙོམས་བྱེད་པར་འགྱུར|{tulayiSyAmi}
མགོ་བསྙུང|{liMgagrIvaziras}
མགོ་རྟེན|{grIvA}
མགོ་འཛིན|{grIvA}
མགོ་ཐོད|{zekhara}
མགོ་དང་གོས་ལ་མེ་འབར་ལྟ་བུ|{adIptazirazcelopama}
མགོ་ན|{muNDavyathA}
མགོ་ནན|{prathama}
ཐོག་མ|{prathama}
མགོ་ཕག་གི་ལྟ་བུ|{sUkarazIrSa}
མགོ་བ|{ziras}
མགོ་བོ|{1) mastaka 2) ziras}
མགོ་བོང་བུའི་ལྟ་བུ|{kharazIrSa}
མགོ་བོའི་རི་བོ|{zIrSaparvata}
མགོ་བོས་ཕྱག་འཚལ་ཏེ|{zirasA vanditvA}
མགོ་བྲེགས|{1) muNDaziras 2) muNDitazIrSa}
མགོ་བྲེགས་ཏེ|{muNDaziras}
མགོ་འབར་འབུར་ཅན|{ghaTAziras}
མགོ་མི་བསྒྱུར|{na zIrSapracAlakam}
མགོ་མི་བརྗེ|{notkRSTikayA}
མགོ་མི་ཟར|{notsaktikayA}
མགོ་མི་གཟར|{notsaktikayA}
མགོ་རྨོངས་པ|{saMsoha}
མགོ་སྨྱུང|{liMgaziras}
མགོ་འཛིན|{grIvA 2) zirorodhi}
མགོ་འཛུག་པ|{upakrama}
མགོ་ཟླ་བ|{1) mArgaziras 2) mArgazIrSa}
མགོ་ཟླུམ|{1) palitakeza 2) pravrajita 2) muNDana}
མགོ་རུས|{kapAla}
མགོ་རེག|{muNDaka}
མགོ་ལ|{upari}
མགོ་ལ་ནད|{ziroruj}
སྐད་ཅིག་མགོ་ལ་ནས་ཀྱིས་རེག|{kSaNaM spRSTaH zirorujA}
མགོ་ལ་ཞུགས་འབར་བ|{AdIptaziras}
མགོ་ལིང་ཅན|{viTapin}
མགོན|{nAtha}
འགྲོ་བའི་མགོན|{jagannAtha}
འཇིག་རྟེན་མགོན|{lokanAtha}
མགོན་དཀར་ཡིད་བཞིན་ནོར་བུ|{sita cintAmaNimahAkAla}
མགོན་བཅས་པ|{sanAtha}
མགོན་ཆེན་ཞི་བ་འཚོ|{zAntirakSita}
མགོན་ལྗང་ཚེ་བདག|{zyAma AyuSyati mahAkAla}
མགོན་ཏུ་བྱས|{nAthIkRtya}
མགོན་པོ|{1) nAtha 2) nAyaqka 3) mahAkAla}
འཇིག་རྟེན་གྱི་ནི་མགོན་པོ|{lokanAtha}
མགོན་པོ་གུར|{paJjaranAtha}
མགོན་པོ་གྲི་གུག་ཁ་ཆེ་པཎ་ཆེན་ལུགས|{mahApaNDitakrama kartarIdhara mahAkAla}
མགོན་པོ་གྲི་གུག་དཔའ་གཅིག|{ekavIra kartarIdhara mahAkAla}
མགོན་པོ་གྲི་གུག་དམར་པོ|{rakta dakSiNapazcima kartarIdhara mahAkAla}
མགོན་པོ་གྲི་གུག་ཛྙཱ་ན་ལུགས|{jJAnakrama kartarIdhara mahAkAla}
མགོན་པོ་གཅེར་བུ་ཟངས་གྲི་ཅན|{tAmrakhaNga (?) nagna mahAkAla}
མགོན་པོ་ཏྲཀྶད་རྐང་ཐང་མ|{padAtika raudrAntaka mahAkAla}
མགོན་པོ་ཏྲཀྶད་གྲི་གུག་སྦྲགས་སྒྲུབ་མ|{° kartarIdhara raudrAntaka mahAkAla}
མགོན་པོ་ཏྲཀྶད་འབྲོང་ཞལ་ཅན|{kAntAracamarImukha (?) raudrAntaka mahAkAla}
མགོན་པོ་ཏྲཀྶད་མ་ནིང་མ|{paNDaka (?) raudrAntaka mahAkAla}
མགོན་པོ་ཏྲཀྶད་སེང་ཞོན་ཇོ་བོའི་ལུགས|{Aryakrama siMhavAhana raudrAntaka mahAkAla}
མགོན་པོ་ཏྲཀྶད་གསང་སྒྲུབ་ཤྭ་ནའི་ཞལ་ཅན|{DAkamukha guhyasAdhana raudrAntaka mahAkAla}
མགོན་པོ་སྟག་ཞོན|{vyAghravAhana mahAkAla}
མགོན་པོ་སྟག་བཞོན་མ|{vyAghravAhana mahAkAla}
མགོན་པོ་ཌཀྶད|{raudrAntaka mahAkAla}
མགོན་པོ་ནག་པོ|{mahAkAla}
མགོན་པོ་ནག་པོའི་སྒྲུབ་ཐབས|{mahAkAlasAdhana}
མགོན་པོ་ནག་པོའི་སྒྲུབ་པའི་ཐབས|{mahAkAlasAdhana}
མགོན་པོ་སྤྱན་རས་གཟིགས|{1) avalokitezvara 2) nAtha ... avalokitaH}
མགོན་པོ་ཕྱག་དྲུག་པ|{SaDbhja mahAkAla}
མགོན་པོ་ཕྱག་བཞི་པ|{caturbhuja mahAkAla}
མགོན་པོ་ཕྱག་བཞི་པ་ཀླུ་སྒྲུབ་ལུགས|{nAgArjunakrama caturbhuja mahAkAla}
མགོན་པོ་ཕྱག་བཞི་པ་གྲུབ་ཆེན་ཞི་བ་སྦས་པའི་ལུགས|{mahAsiddhazantiguptakrama caturbhuja mahAkAla}
མགོན་པོ་ཕྱག་བཞི་པའི་འཁོར་ལྷ་མོ་ཙཎྜི་ཀཱ|{caturbhujamahAkAlasyAnucarA devI caNDikA}
མགོན་པོ་བར་ཆད་ཀུན་སེལ|{sarvAntarAyasaMgrasana mahAkAla}
མགོན་པོ་བེང|{daNDadharamahAkAla}
མགོན་པོ་བེང་གཏེར་མ|{nidhi (?) daNDadharamahAkAla}
མགོན་པོ་བེང་ནག་ཟངས་གི་ཅན|{tAmrakhaGga (?) kRSNa daNDadharamahAkAla}
མགོན་པོ་བྱ་གདོང|{kAkamukha mahAkAla}
མགོན་པོ་བྲམ་ཟེའི་གཟུགས་ཅན|{brahmaNarUpadhara mahAkAla}
མགོན་པོ་མི་ཕམ་པ|{ajitanAtha}
མགོན་པོ་མྱ་ངན་འདས་གཟིམས་ལྟར|{nAthanirvaNazayyAvat}
མགོན་པོ་ཟངས་གྲི་ཅན་གྱི་ལྗང་ལུགས|{° tAmrakhaGga (?) mahAkAla}
མགོན་པོ་ལེགས་ལྡན|{bhagavanmahAkAla}
མགོན་པོ་ལེགས་ལྡན་མཆེད་གསུམ|{bhAtRtrayabhagavanmahAkAla}
མགོན་པོ་ལྷ་ཆེན་དཔལ་འབར་ཇོ་བོའི་ལུགས|{Aryakrama mahAdeva zrIjvAla mahAkAla}
མགོན་པོ་ཨཾ་གྷོ་ར|{aghora mahAkAla}
མགོན་པོ་མཆིས|{anAtha}
མགོན་མེད|{anAtha}
མགོན་མེད་པ|{anAtha}
མགོན་མེད་ཟད་སྦྱིན|{anAthapiNDaka}
མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ|{anAthapiNDasyArAmaH}
མགོན་དམར་རྐང་གླིང་ཅན|{° rakta mahAkAla}
མགོན་དམར་དབང་གི་རྒྱལ་པོ|{cintAmaNi rakta mahAkAla}
མགོན་སེར་བློ་འཕེལ|{mativardhana pIta mahAkAla}
མགོའི་རྒྱན|{mUrzAbharaNa}
མགོའི་ཐད་ཀར|{zIrSAnte}
མགོའུ་ཆུང|{azIrSaka}
མགྱོགས|{1) Azu 2) java}
མགྱོགས་འགྲོ|{1) turaga 2) turaMga 3) vAjin}
མགྱོགས་པ|{1) Azu 2) kSipra 3) java 4) javana 5) tUrNa 6) vega 7) zIghra 8) sapadi}
མགྱོགས་པའི་མཆོག|{javatara}
མགྱོགས་པའི་ཤེས་རབ|{javanaprajJa}
མགྱོགས་པར་འགྲོ་བ|{zIghragAmin}
མགྱོགས་པས|{tarasA}
མགྲིན|{1) kaNTha 2) gala 3) grIvA}
མགྲིན་ངན|{kunikaNTha}
མགྲིན་སྔོན|{nIlakaNTha}
མགྲིན་བཅུ|{dazaskandha}
མགྲིན་ལྡན|{kalakaNTha}
མགྲིན་པ|{1) kaNTha 2) kandhara 3) kandharA 4) kambu 5) grIvA 6) zirodhi}
མགྲིན་པའི་ཕྱོགས|{jatru}
མགྲིན་པའི་རྩེ|{kaNThamUla}
མགྲིན་པའི་རླུང|{udAna}
མགྲིན་དམར|{raktagrIva}
མགྲིན་མཛེས|{sugrIva}
མགྲིན་བཟང|{sugrIva}
མགྲིན་བཟང་བཙུན་མོ|{gorocanA}
གི་ཝང|{gorocanA}
མགྲོན|{1) atithi 2) nimantraNa 3) sattra}
མགྲོན་ཁང|{atithizAlA}
མགྲོན་དུ་གཉེར་བ|{upanimantraNa}
མགྲོན་དུ་སྤྱན་འདྲེན་པ|{upanimantraNa}
མགྲོན་དུ་བོད་པ|{upanimantraNa}
མགྲོན་དུ་བོས་པ|{nimantraNaka}
མགྲོན་དུ་བོས་ཟིན|{nimantrita}
མགྲོན་པོ|{1) atithi 2) Af+ntuka 3) sArtha}
འགྲོ་བའི་མགྲོན་པོ|{janasArtha}
དགེ་སློང་མའི་མགྲོན་པོ་མང་པོ་དང་ལྷན་ཅིག་འགྲོ་བ|{bhikSuNIsArthana saha gamanam}
མགྲོན་བུ|{1) kapardaka 2) kapardikA 3) paNAsthi 4)}
ཀ་ཀ་ནི་མགྲོན་བུ་ཉི་ཤུའི་རིན|{kAkaNi}
མ་ཤ་ཀ་མགྲོན་བུ་བརྒྱད་བཅུའི་རིན|{mASakaH}
ཀར་ཤ་པ་ན་མགྲོན་བུ་སྟོང་དྲུག་བརྒྱའི་རིན|{kArSApaNaH}
འགག|{1) nirudhyante 2) nirodha}
འགག་པ་མེད|{1) aniruddha 2) anirodha}
འགག་པ་མེད་པ|{1) aniruddha 2) anirodha}
སྐྱེ་བ་མེད་པ་འགག་པའི་རང་བཞིན་དུ|{anutpannAniruddhaM prakRtyA}
འགག་པར་འགྱུར|{1) nirudhyamAna 2)}
འདུ་བྱེད་འགག་པར་འགྱུར་བ|{saMskAranirodho bhavati}
འགག་པར་འགྱུར་བའང་མ་ཡིན|{niroddhumapi nehate}
མ་འགགས|{aniruddha}
འགགས་པ|{1) avasakta 2) niruddha 3) nirodha 4) nivRtta 5) baddha 6) rodha}
མ་རིག་པ་འགགས་པས|{avidyAnirodhAt}
མ་རིག་པ་འགགས་པས་འདུ་བྱེད་འགག|{avidyAnirodhAt saMskAranirodha}
འགགས་པ་མེད|{aniruddha}
འགགས་ལ་འགག་པར་འགྱུར་ཞིང་འགག་བཞིན་ཏེ|{niruddhA nirudhyante nirotsyante ca}
འགགས་ཤིང་ནུབ་པ|{nirodho nivRtti}
འགའ|{1) kazcid 2) kAcid 3) kiMcana 4) kiMcid}
རེས་འགའ|{kadAcana}
འགའ་འགའ|{kecid}
འགའ་མ་མཆིས|{nAsti kiMcid}
འགའ་མེད|{na kizcid}
འགའ་ཞིག|{1) eka 2) kaMcid 3) kaMcideva 4) katicid 5) katipaya 6) kazcid 7) kasyacid 8) kiMcid 9) kimapi 10) kiyat 11) kecid 12) kvacid 13) yad 14)}
གཞན་འགའ་ཞིག|{kazcidanya}
སྡ་འགའ་ཞིག་གིས|{kenacid}
འགའ་ཞིག་ན|{kvacid}
འགའ་ཞིག་ལ|{1) ekatra 2) kvacid 3) yatra tatra vA}
དམིགས་པ་དང་ནི་བཅས་པའི་སེམས་འགའ་ཞིག་ལ་ནི་གནས་པར་འགྱུར|{sAlambanena cittena sthAtavyaM yatra tatra vA}
འགའ་འང|{kiMcid}
འགའ་ཡང|{1) kaMcid 2) kazcid 3) kasyacid 4) kiMcid}
འགའ་ཡང་དོན་མེད་མ་གྱུར་ཅིག|{anarthaH kasyacinmAbhUt}
བྱིས་པ་འགའ་ཡང་བཤེས་མིན|{na bAlaH kasyacin mitram}
འགའ་ཡང་མེད|{na kazcid}
འགའ་ཡིས་ཀྱང|{kenApi}
འགའ་ལ|{kvavid}
འགའ་ལ་ལ|{kazcid}
འགར|{kvacid}
འགལ|{1) ulkA 2) bAdhyate 3) viruddha}
འགལ་བ|{atisAriNI 2) pratirodha 3) bAdhita 4) vidhura 5) viruddha 6) viruddhatA 7) viruddhatva 8) virudhyate 9) virodha 10) virodhin 11) vyAhata 12) samatikrama}
བསལབ་པའི་གཞི་ལས་འགལ་བ|{zikSApadasamatikrama}
འགལ་བ་ཉིད|{viruddhatva}
འགལ་བ་སྙམ་དུ་སེམས་པ|{viruddhamAnasa}
འགལ་བ་དང་འགོག་པ་ཐམས་ཅད་ཡང་དག་པར་ཞི་བར་བྱེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན|{sarvanirodhavirodhasaMprazamano nAma samAdhiH}
འགལ་བ་མི་འཁྲུལ་པ|{viruddAvyabhicArin}
འགལ་བ་མི་འཁྲུལ་པ་ཅན|{viruddAvyabhicArin}
འགལ་བ་མེད་པ|{1) apratirodha 2) avirodha}
འགལ་བ་ཞེས་བྱའི་གཟུགས་ཅན|{viruddharUpaka}
འགལ་བ་ལ་མི་འཁྲུལ་བ|{viruddAvyabhicArin}
འགལ་བའི་གཏན་ཚོགས་ལྟར་སྣང་བ|{viruddho hetvAbhAsaH}
འགལ་བའི་རྟགས|{viruddhahetuka}
འགལ་བའི་རྟགས་ཉིད|{( viruddhahetutva )}
འགལ་བའི་དོན་གྱི་གསལ་བྱེད|{viruddhArthadIpaka}
འགལ་བའི་དོན་དག་གཅིག་ལ་ཡོད་པ་ནི|{viruddhArthayorekatra}
འགལ་བའི་དཔེ|{virodhopamA}
འགལ་བར་རྟོགས་པ|{viruddha}
འགལ་བར་བྱས|{laMghita}
འགལ་མའི་འཁོར་ལོ|{alAtacakra}
འགལ་མི་བྱ|{avirodhayat}
འགལ་མེད|{avirodha}
འགལ་མེད་བསྐོར་བ|{alAtacakra}
འགལ་ཚབས་ཅན་དུ་འགྱུར་རོ|{sAtisAro bhavati}
འགལ་ཞེ་ན|{virudhyate}
འགལ་ཟླ|{pratidvandvin}
ཆུ་ལ་འཛུབ་མོས་སེ་གོལ་རྡོབ་རྐུས་འཛུགས་པ་འགལ་གཟུགས་འཁྲི་ལས་འཛུགས་པ|{TiTyakaH}
འགས་ཀྱང|{1) kazcid 2) kenacid}
འགི་སྦང|{gorocanA}
འགི་ཧང|{gorocanA}
འགུ་བར་བྱ་བ|{ArAgaNa}
འགུམ|{maraNaM bhaviSyati}
འགུམ་དུ་སྩལ་བ|{praghAtyate}
འགུམ་དུ་སྩལ་བར་བགྱི|{praghAtayitavya}
འགུམས|{vighnantu}
འགུལ|{1) kaNTha 2) kampita 3) cal}
མི་འགུལ|{nizcala}
འགུལ་བ|{1) calat 2) calayati 3) lola}
འགུལ་བར་གྱུར་པའི་སོ|{dantazcalitaH}
འགུལ་མ་ཡིན|{acala}
འགེག|{udvandhana}
འགེགས|{1) pratibandha 2) vibandha}
འགེངས་ཤིང|{ApUryamANa}
འགེངས་སུ་གཅུག་སྟེ|{pUrayitvA}
འགེངས་སུ་ཆུག་ལ|{pUrayitvA}
འགེད|{vibhajate}
འགེད་པ|{bhAjaka}
འགེབས|{kaccha}
འགེམས་ནས|{zcotat}
འགེམས་པ|{pratyastrita}
འཇོམས་པ|{pratyastrita}
འགེམས་པར་བྱེད་པ|{didaMzate}
འགོ|{pramukha}
མགོ|{pramukha}
འགོ་གཅིག་ཏུ་ལུང་བསྟན་པ|{ekAMzavyAkaraNa}
ནད་འགོ་བ|{upasarga}
འགོ་བའི་ནད|{upasarga}
རྣམ་འགོག་པ|{nivAraka}
འགོག་པ་མངོན་དུ་བགྱི་བ|{nirodhasAkSArkAra}
འགོགོ་པ་མངོན་དུ་བགྱིད་པ|{nirodhasAkSArkAra}
འགོག་པ་མངོན་དུ་བྱས|{nirodhaH sAkSAtkRtaH}
འགོག་པ་ཅན་དང་གཏན་ཚིགས་ཀྱི་ལྡོག་པ་ཡན|{sAkSepasahetuvyatireka}
འགོག་པ་དང་འགོག་པ་མེད་པ|{nirodhanirodha}
འགོག་པ་མེད་པའི་ཚིག|{anirodhapada}
འགོག་པ་ཡིན|{1) niSidhyate 2) niSedha}
འགོག་པ་ལ་ཆོས་ཤེས་པ|{nirodhe dharmajJAnam}
འགོག་པ་ལ་ཆོས་ཤེས་པའི་བཟོད་པ|{nirodhe dharmajJAnakSAnti}
འགོག་པ་ལ་རྗེས་སུ་རྟོགས་པའི་ཤེས་པ|{nirodhe 'nvayajJAnam}
འགོག་པ་ལ་རྗེས་སུ་རྟོགས་པར་ཤེས་པའི་བཟོད་པ|{nirodhe 'nvayajJAnakSAntiH}
འགོག་པ་ལ་སྙོམས་པར་ཞུགས་པ|{nirodhasamApatti}
འགོག་པ་ལ་གནས་པ|{nirodhanizrita}
འགོག་པ་ལ་དམིགས་པ|{nirodhAlambaka}
འགོག་པ་ལས་ལྡང་བ་མེད་པའི་ཚིག|{anirodhavyutthAnapada}
འགོག་ལ་ལས་ལྡང་བའི་ཚིག|{nirodhavyutthAnapada}
འགོག་པ་ཤེས་པ|{nirodhajJAna}
འགོག་པའི་སྒོའི་བདེ་བ|{nirodhasukha}
འགོག་པའི་སྙོམས་པར་འཇུག་པ|{nirodhasamApatti}
འགོག་པའི་ཏིང་ངེ་འཛིན་གྱི་བདེ་བའི་སྒོ|{nirodhasamAdhisukhamukha}
འགོག་པའི་བདེན་པ|{nirodhasatya}
འགོག་པའི་རབ་དུ་མཉམ་པར་བཞག་པ|{navamaM nirodhaM samApannaH}
འགོག་པའི་ཚིག|{nirodhapada}
འགོག་པར|{niSeddhum}
འགོག་པར་འགྱུར་བ|{niSedha}
འགོག་པར་འགྲོ་བ|{nirodhagAmin}
འགོག་པར་བྱ་བའི་ཕྱིར་མ་ཡིན|{na nirodhAya}
འགོག་པར་བྱེད|{1) nirodhayanti 2) vAryate}
འགོག་པར་བྱེད་པའི་སྒོ|{nirAkaraNamukha}
འགོག་སྤྱོད|{arhan}
འགོག་བྱེད|{saMyata}
འགོགས|{1) paryAya 2) pratibandha 3) laMghana}
འགོང|{saMlIyate}
འགོང་བ|{1) vigarha 2) vigraha}
འགོང་བོ|{vigraha}
འགོངས་ནས|{samullaMghya}
འགོད|{1) vyaya 2) sthApana 3)}
རྣལ་དུ་འགོད|{samAdhAtR}
ཉེ་བར་འགོད་པ|{upanyAsa}
འགོས་པར་བྱེད|{cinanti}
ཆོས་ཀྱི་སྒོ་ལ་འགོས་པར་བྱེད|{dharmamukhAn cinanti}
འགོམ་བྱ|{laMghya}
འགོར་བ|{1) vilamba 2) zanaiH}
ཐོགས་པ|{1) vilamba 2) zanaiH}
འགོལ་བར་བྱེད་པ|{uddhura}
འགྱིང་བག|{lIlA}
མོ་གཤམ་བུ་མོའི་འགྱིང་བག|{vandhyAduhitRlIlena}
འགྱིང་ཞིང|{salIla}
གླང་པོ་ཆེ་ལྟར་འགྱིང་ཞིང་བཞུད་པ|{salIlagajagAmin}
འགྱིངས་པ|{1) lIlA 2) vibhrama}
འགྱིམ་པ|{paridhi}
འགྲོ་བར་འགྱུར|{asmin ... gataH}
སྡུག་བསྔལ་འགྱུར|{duHkhamupaiti}
འཕེལ་མི་འགྱུར|{vRrddhi naiva gamiYyati}
བསྐྱེད་པར་གྱུར་ཏོ|{utpannaM babhUva}
ཕྱག་བྱར་འགྱུར|{° vandanIyo bhavati}
འབྱུང་བར་འགྱུར|{samudayo bhavati}
མ་འགྱུར་བར་དུ|{yAvanna bhavitA}
སྐྱེད་པར་འགྱུར|{saMjanitaM bhavaSyati}
བརྒྱན་པར་གྱུར་རོ|{alaMkRto bhavaSyati}
དང་ཕྲད་པར་འགྱུར|{° samavadhAnagato bhaviSyati}
རིང་བསྲེལ་ཡོད་པར་འགྱུར|{dhAturbhaviSyati}
