འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
ཕུན་སུམ་ཚོགས་པ་ལྔ|five aspects of excellence
ཕུང་པོ|mind-body/_psychophysical aggregate(s); (physical) remains; physical mass (of the body); heap/_collection
ཕུང་པོའི་བདུད|mara of the mind-body aggregates
ཕུར་བུ|kila/_ritual dagger
ཕུར་ཚུགས་སུ|penetrating(ly)/_piercing(ly)
ཕྱ་སངས|[mind] clear of wavering/_stirring/_vacillation
ཕྱག་འཚལ|dance of homage (in dance)
ཕྱག་བརྙན|emissary
ཕྱག་ཆེན|mahamudra; ཕྱག་རྒྱ་ཆེན་པོ mahamudra; supreme and (all-embracing) seal/_symbol
ཕྱག་མཚན|symbolic implement
ཕྱག་རྒྱ|seal; mudra (consort); symbol(ic gesture/_ornament); symbolic form of a deity; seal of reality/_practice; isc. symbolic expression
ཕྱག་རྒྱའི|. . . that seals reality
ཕྱག་སྣེ|support during a stay [KNT]
ཕྱག་འཚལ་བ|to pay homage/_prostrate (to)
ཕྱག་ཆེན་རིག་འཛིན|ཕྱག་རྒྱ་ཆེན་པོའི་རིག་འཛིན master/_holder of awareness of mahamudra/_the supreme seal/_symbol*
ཕྱག་རྒྱ་བཞི|four mudras/_seals of practice/_symbol(ic state)s/_situations
ཕྱག་རྒྱ་ཆེན་པོ|ཕྱག་རྒྱ་ཆེན་མོ mahamudra; supreme and (all-embracing) seal/_symbol
ཕྱག་རྒྱ་ཆེན་པོའི་རིག་འཛིན|master/_holder of awareness of mahamudra/_the supreme seal/_symbol*
ཕྱལ་བ|(pervasive) openness*; isc. vague/_undirected/_undisciplined/_unstructured/_impartial
ཕྱལ་ཕྱོལ|ཕྱལ་ལེ་ཕྱོལ་ལེ chaotic
ཕྱལ་ཡས|expansive openness
ཕྱལ་ལེ་བ|open(ly); even(ly)/_uniform(ly); level
ཕྱལ་ལེ་ཕྱོལ་ལེ|chaotic
ཕྱམ་བརྡལ|ཕྱམ་གདལ (to rest in) infinite/_expansive evenness/_uniformity; (state of) equilibrium; isc. infinite state of evenness
ཕྱམ་གཅིག|single evenness
ཕྱམ་གདལ|equilibrium; ཕྱམ་བརྡལ (to rest in) infinite/_expansive evenness/_uniformity; (state of) equilibrium; isc. infinite state of evenness
ཕྱམ་མཉམ|evenness; equilibrium; uniformity
ཕྱམ་ཕྱད|uniform evenness
ཕྱམ་ཕྱལ|complete openness
ཕྱམ་ཕྱམ|complete evenness; isc. uniformity/_equilibrium
ཕྱང་ཆད|decided; committed; determinate; predictable; isc. being any definite/_specific thing; isc. inert void/_emptiness in the wrong sense
ཕྱང་མ་ཆད|undecided; uncommitted; indeterminate; unpredictable; isc. without being any definite/_specific thing; isc. inert void/_emptiness in the wrong sense
ཕྱེད་པ|འབྱེད་པ་། ཕྱེས་པ་། ཕྱེད་པ། དབྱེ་བ to differentiate/_distinguish/_analyze/_divide; analysis/_differentiation; isc. to distil
ཕྱེད་སྣང|half/_semi-apparent; transitional stage between appearance and nonappearance/_form and emptiness
ཕྱེས་པ|འབྱེད་པ་། ཕྱེས་པ་། ཕྱེད་པ། དབྱེ་བ to differentiate/_distinguish/_analyze/_divide; analysis/_differentiation; isc. to distil
ཕྱི|outer/_outward(ly)/_external(ly); later
ཕྱི་གདངས|outwardly directed radiance; externalized/_outwardly directed radiance (of being)outwardly directed radiance
ཕྱི་གསལ|ཕྱིར་གསལ outer/_outward (expression of)/_external(ized) illumination/_vividness/_clarity
ཕྱི་མ|later/_after/_latter
ཕྱི་མོ|ancestor; progenitor
ཕྱི་ནང|outer and/_or inner; external and/_or internal
ཕྱི་རྒོལ|respondent/_challenger (in debate)
ཕྱི་རྒྱ|ཕྱི་རྒྱ་མ་རལ་བ (no violation of/_breach of/_interruption in) encompassment/_embrace/_outermost confines
ཕྱི་རྩལ|outwardly directed dynamic energy
ཕྱི་སློང|external upheaval
ཕྱི་སྣོད|(inanimate world as) outer container
ཕྱི་ནང་གང་ནའང་མེད་པ་གསལ་སྣང|clearly manifest yet nonexistenet anywhere, outwardly or inwardly
ཕྱི་ནང་མེད་པ|with no (division into) outer or inner; neither external nor internal; (that) cannot be divided into outer and inner
ཕྱི་ནང་གི་གདོས་བཅས|(the experience of) the physical body and the material world
ཕྱི་ནང་སྐྱེ་འགྲོ|outer environment(s) and the being within it/_them
ཕྱི་ནང་སྣོད་བཅུད|the inanimate universe and the life it contains are formed
ཕྱི་སྟོང་པ|outer emptiness
ཕྱི་བདག་ལྟའི་རུ་དྲ|outer rudra of viewing in terms of identity
ཕྱི་རྒྱ་རླབས་ཀྱིས་གཅོད་པ|to thoroughly shatter the outermost confines
ཕྱི་རོལ་པ|nonbuddhist
ཕྱིན་ཅི་མ་ལོག་པ|unmistaken (opinion/_position); isc.incontrovertible; isc. genuine
ཕྱིན་ཅི་ལོག་པ|mistaken/_erroneous (opinion/_position)
ཕྱིར|in order to; . . . gi phyir - because . . .; in order to/_for . . .
ཕྱིར་འགྲོས|backstepping gait (in dance)
ཕྱིར་གསལ|(to) become evident outwardly; outward evidence. ཕྱི་གསལ outer/_outward (expression of)/_external(ized) illumination/_vividness/_clarity
ཕྱིར་ན|. . . phyir na - due to (the fact that) . . .
ཕྱིར་ནང|next morning [KNT]
ཕྱིར་འབྲང་བ|to externalize
ཕྱིར་གསལ་བ|(to) become evident outwardly; outward evidence
ཕྱིར་བཟློག་པ|to turn back/_revert/_regress/_recant
ཕྱིར་མི་ལྡོག་པ|nonregressing/_nonreverting; nonregression; without /_regression/_relapse; to ensure no relapse
ཕྱིར་མི་ལྡོག་པའི་དབང|empowerment ensuring no relapse/_regression back to ordinary being
ཕྱིར་མི་ལྡོག་པའི་ས|spiritual level from which there can be no relapse/_regression
ཕྱིར་མི་ཨོང་བ|nonreturner
ཕྱིར་སྤྲོ་བ|ཕྱིར་འཕྲོ་བ to proliferate/_unfold/_extend outward; isc. to be drawn out to/_outward
ཕྱིར་འཁྱལ་བ|to deviate
ཕྱིར་འོང་བ|once-returner
ཕྱིས|after (the fact)/_afterward; (at some point) in the future
ཕྱིས་སུ|after (the fact)/_afterward; (at some point) in the future
ཕྱོགས|ཕྱོགས་ཆོས premise/_proposition (in logic). . . . gi phyogs - perspective/_aspect of . . . ; tendency to(ward) . . . ; that which pertains to . . .. direction; spatial relationship; extreme; (sectarian) prejudice/_bias/_faction; side; isc. perspective
ཕྱོགས་འབྱམས|panorama/_panoramic (vista)
ཕྱོགས་འཛིན|sectarian; fanatic(al); (religious) zealot; partial/_biased
ཕྱོགས་བྲལ|impartial; without/_free of/_beyond bias/_extreme
ཕྱོགས་ཆ|distinct/_partial/_biased aspect/_quality; vested interest; isc. component
ཕྱོགས་ཆོས|premise/_proposition (in logic)
ཕྱོགས་གཅིག|biased interpretation/_understanding (of . . . )
ཕྱོགས་ལ|. . . gi phyogs la - with respect to . . . ; in the case of . . .
ཕྱོགས་ལྷུང|ཕྱོགས་སུ་ལྷུང་བ (regarding phenomena) (not) defined by/_subject to extremes (into which to fall); (without) falling into/_tending toward extremes (regarding attitudes) unbiased (regarding space/_awareness/_etc.) not/_nonlocalized. ཕྱོགས་ལྷུང་མེད་པ (to be subject to/_defined by)(to fall/_falling into) extremes
ཕྱོགས་མེད|impartial(ly)/_unbiased/_unprejudiced; without/_beyond extremes/_position; not subject to extremes [where reference is to how perception occurs]; isc. with no specific nature; isc. without one feeling partiality/_bias (toward . . . )/_without reacting (to . . . ); without division; isc. boundless/_unlimited
ཕྱོགས་མཐའ|limiting extremes; extremes and limitations
ཕྱོགས་མཚམས|cardinal and intermediate directions
ཕྱོགས་ཉལ|to avoid [?]
ཕྱོགས་པ|. . . (la) phyogs pa - to tend toward . . .
ཕྱོགས་རིས|bias and/_or division; extreme and/_or bias/_distinction
ཕྱོགས་སྔ|initial position to be refuted in debate
ཕྱོགས་ཙམ|(even in) the slightest
ཕྱོགས་ཡན|(in an) unconstrained/_unrestrained (manner); isc. unlimited/_limitless
ཕྱོགས་སུ་ལྷུང་བ|(to be subject to/_defined by)(to fall/_falling into) extremes
ཕྱོགས་རིས་མེད་པ|without (arbitrary) bias and/_or distinction/_division; not subject to extremes or distinctions/_divisions
ཕྱོགས་དང་རིས་སུ་མ་ཆད་པར|ཕྱོགས་རིས་མེད་པ without (arbitrary) bias and/_or distinction/_division; not subject to extremes or distinctions/_divisions
ཕྱོགས་དང་རིས་མེད་པ|ཕྱོགས་དང་རིས་སུ་མ་ཆད་པར without (arbitrary) bias and/_or distinction/_division; not subject to extremes or distinctions/_divisions
ཕྱོགས་རེར་འཆོལ་བ|. . . phyogs rer 'chol ba - to make an error in judgement at the expense of either . . .
ཕྱོགས་བཞི་ཡངས་པ|panorama
ཕྱོགས་ཡན་དུ|(in an) unconstrained/_unrestrained (manner); isc. unlimited/_limitless
ཕྱོགས་ཆ་དབུས་མེད|without periphery or center
ཕཡབ༹|affluence
ཕཡབ༹་གཡང|affluence and prosperity
པྲ་ཁྲིད|detailed teaching
པུ་ཤུ|coping (of mansion); 'Polish parapets'
པུ་རུ་རུ|(to) flutter and wave
ར་བ|parameter; boundary; guideline
ར་རི|ར་མ་རི vague/_imprecise
ར་མ་རི|vague/_imprecise
ར་འཕྲོད་པ|to verify; to align
ར་ས་ཡ་ན|alchemy/_alchemical transmutation [=bcud len]
རབ|རབ་ན utter(ly)/_absolute(ly); intens(iv)ely. རབ་ཏུ in the very best of cases . . .
རབ་འབྱམས|immensity; རབ་འབྱམས་པ (entire) vast (cosmic) array/_immensity; immense
རབ་དབྱེ|རབ་ཏུ་དབྱེ་བ detailed analysis; to analyze in detail
རབ་གསལ|window [KNT]
རབ་ན|in the very best of cases . . .
རབ་རིབ|རབ་རིབ་པ visual aberration; to be visually impaired
རབ་སྐྱེ|unrelenting process of production (of various forms of suffering)
རབ་ཏུ|utter(ly)/_absolute(ly); intens(iv)ely
རབ་ཏུ་སྤྲོས་མེད|utterly unelaborate/_utterly without (conceptual) elaborations; utterly unelaborate (empowerment)*
རབ་ཏུ་སྟོང་པ|utter emptiness
རབ་ཏུ་དབྱེ་བ|detailed analysis; to analyze in detail
རབ་ཏུ་གནས་པའི་ཆོ་ག|consecration ritual
རབ་ཏུ་དགའ་བ|the intensely joyful one/_intense joy [1st spiritual level/_bhumi]
རབ་གནས་ཆོ་ག|རབ་ཏུ་གནས་པའི་ཆོ་ག consecration ritual
རབས་ཆད་པོ|cut-off family; a (blood)line that has died out
རག་ལས་པ|depend; to rely/_depend/_hinge (up)on
རགས་པ|coarse/_gross
རཀཏ|rakta/_(menstrual) blood
རང|natural(ly)/_innate(ly) . . . (in and of itself); self-
རང་འདོད|selfish vested interest
རང་བབས|natural condition/_circumstance; (natural state of) utter relaxation; isc. utterly relaxed; isc. natural(ly); (CYDz) natural seelting/_settling naturally/_naturally settled
རང་བྱུང|naturally occurring/_self-occurring; (to occur) in and of itself; to occur naturally; naturally occurs; isvfc. self-arising [i.e. CYDz, 205. a.2 rang byung gi padma'i rgyal po, self-arising ruler Padmakara]
རང་བཞག|རང་གཞག natural (state of) rest/_settling; to rest/_settle in and of itself; self-settling/_deciding; self-affirming
རང་བཞིན|nature (of being*); the very nature (of things); isc. (one's) true nature. གཙོ་བོ primal matter (Samkhya term)
རང་ཆས|natural(ly)/_inherent(ly) (occurring) quality/_attribute (of being)
རང་དག|natural purity (underlying . . . ); naturally pure/_purified
རང་དངས|རང་དབ༹ངས naturally pristine/_unsullied [Chagdud R: = sgrib pa'i dri mas ma gos pa/_gzhan gyi rgyu rkyen la ma brten pa]
རང་དབང|autonomy; autonomous (existence)
རང་དབྱིངས|natural/_inherent basic space
རང་དེངས|naturally cleared away/_vanishing
རང་དོན|self-interest/_benefit for oneself
རང་དུས|natural/_specific context; isc. in the very context/_moment of . . .
རང་དབ༹ངས|naturally pristine/_unsullied [Chagdud R: = sgrib pa'i dri mas ma gos pa/_gzhan gyi rgyu rkyen la ma brten pa]
རང་གར|random; indifferent(ly)/_nonchalant(ly)/_unconcerned(ly)/_natural(ly); arbitrar(il)y
རང་གདངས|natural/_inherent radiance (of being)*; naturally radiant
རང་གདེང|indwelling confidence; རང་གདིང naturally/_inherently indwelling confidence
རང་གདིང|རང་གདེང naturally/_inherently indwelling confidence
རང་གནས|རང་གནས་ཀྱི natural abode. རང་བཞིན་གྱི་གནས naturally abiding; inherently indwelling
རང་གྲོལ|naturally free (in and of itself); natural freedom
རང་གསལ|(re mind:) naturally/_inherently lucid; natural/_inherent lucidity; isc. (to be) naturally evident (re sensory appearances:) naturally/_inherently clear/_vivid; natural/_inherent clarity/_vividness; naturally luminous
རང་གཞག|རང་བཞག natural (state of) rest/_settling; to rest/_settle in and of itself; self-settling/_deciding; self-affirming
རང་གཞི|(one's own) natural/_inherent ground of being
རང་གཞུང|specific tradition/_tradition specific to . . .
རང་གཟུགས|.་.་.་གི་རང་གཟུགས natural expression/_inherent form (of . . . )
རང་ཀ|vague [?]
རང་ལས|naturally; in and of itself
རང་ལོག|to dissipate naturally
རང་ལུགས|རང་ལུགས་སུ (in its) own/_natural mode; isc. as it is in itself
རང་མལ|natural repose; (own) natural place of rest/_resting place/_abode/_(place/_state of) natural repose
རང་མདངས|natural 'glow'; 'glow' of inherent potential*
རང་མཚན|རང་མཚན་པ (to be/_seem) naturally/_inherently endowed with (its own) characteristics; self-justifying/_sustaining/_defining; isc. autonomous; isc. exist in and of itself; isc. (exist) in its own right; isc. to seem entirely legitimate
རང་ངོ|very essence (of being); isc. (one's own) true nature/_face; isc. truth; isc. what is inherent (in … ) [cf. CYDz, 50. b.5: 'khor ba'i rang
རང་རེ|རང་རེ་རྣམས those of us (who . . . )
རང་རྒྱལ|རང་སངས་རྒྱས pratyekabuddha/_solitary buddha
རང་རིག|self-knowing awareness [Dzogchen]; self-aware(ness) [Yogachara] isvfc. naturally expressive of awareness [cf. CYDz, 163. a.5-6: sang rgyas kyi mdzad pa . . . rang rig]
རང་ས|(one's) own natural condition/_own place; natural state; isc. own ground
རང་སངས|naturally pristine; isc. pristine by nature; isc. naturally awakened; isc. [e.g., distortions] naturally cleared away
རང་སར|རང་ས་ན། རང་ས་ནས (within/_in) its own/_natural context/_place/_abode; isc. in its own ground
རང་སེམས|natural mind; isc. the very nature of mind; isc. one's own mind
རང་ཤར|naturally arising; to arise naturally
རང་སྣང|[depending on context] (awareness's/_mind's) own manifestation; naturally/_inherently manifest; self-manifest; natural manifestation
རང་སོ|(one's) own true/_natural condition/_place/_state; naturalness
རང་སོང|naturally ensured (in and of itelf)
རང་སྟོབས|རང་སྟོབས་ཀྱིས (through/_by) natural/_inherent/_its own power/_strength
རང་སྟོང|'self-empty' school; unqualified emptiness/_self-emptiness
རང་ཡལ|naturally vanishing/_fading/_disappearing/_evanescent
རང་ཡན|naturally expansive; isc. naturally unfolding; isc. naturally dissipating
རང་ཞལ|(one's own) true face
རང་རྐང་ཚུགས་ཐུབ་པ|capable of autonomous existence
རང་རིག་ཡེ་ཤེས|self-knowing timeless awareness
རང་བཞིན་བབས|innate nature/_natural state of utter relaxation
རང་བཞིན་བཅུ|the ten attributes
རང་བཞིན་དུ|.་.་.་གི་རང་བཞིན་དུ་.་.་. to be/_as (of) the nature of . . .
རང་བཞིན་གྱི|རང་བཞིན་གྱིས by (its very) nature; naturally occurring; that is natural(ly)/_inherent(ly) (so/_present)
རང་བཞིན་གྱིས|naturally/_inherently; by its very nature. by (its very) nature; naturally occurring; that is natural(ly)/_inherent(ly) (so/_present)
རང་བཞིན་གྱིས་འོད་གསལ་བ|utter lucidity/_utterly lucid by its very nature
རང་བཞིན་གྱིས་མེད་པ|[in 'higher' sense] ineffable by nature [acc. to CR, this means rang bzhin GYIS med pa]; isc. by nature not what it seems [in 'lower' sense] without/_have no independent nature/_self-nature
རང་བཞིན་གནས་པ|naturally abiding/_indwelling
རང་བཞིན་གྱི་གནས|natural abode
རང་བཞིན་གྱི་རིགས|natural spiritual affinity; spiritual affinity as the nature of being
རང་བཞིན་གྱི་སྡིག་པ|deed (naturally/_inherently) negative/_harmful (by its very nature)
རང་བཞིན་གྱི་བསམ་གཏན|natural/_inherent meditative stability
རང་བཞིན་གྱི་བར་དོ|naturally occurring/_self-existing interval/_intermediate state
རང་བཞིན་གྱི་ལྟུང་བ|deed (naturally/_inherently) violating ordination (by its very nature)
རང་བཞིན་བབས་ཀྱི|utterly natural
རང་བཞིན་རྒྱུན་གྱི་རྟག་པ|permanent and fixed continuity of nature [?]
རང་བཞིན་མེད་པ|རང་བཞིན་གྱིས་མེད་པ [in 'higher' sense] ineffable by nature [acc. to CR, this means rang bzhin GYIS med pa]; isc. by nature not what it seems [in 'lower' sense] without/_have no independent nature/_self-nature
རང་བཞིན་རྫོགས་པ་ཆེན་པོ|natural great perfection/_great perfection as the nature (of being/_reality/_things)
རང་བཞིན་ཤུགས་ཀྱི་ཐུགས་རྗེ|responsiveness as a natural power
རང་བཞིན་ཡེ་བབས་ཀྱི་བསམ་གཏན|natural meditative stability as a timeless and innate abiding [KOT=rDzogs chen equivalent of zhi gnas; cf. rang ngo rang gsal gyi lhag mthong; cf. rang ngo rang gsal gyi lhag mthong]
རང་བཞིན་དུ་གནས་པའི་རིགས|naturally abiding aspect of spiritual affinity
རང་བཞིན་རྣམ་དག་གི་སྐུ|kaya that is totally pure by nature (one of the two aspects of svabhavikakaya)
རང་ཀ་མ|just as it is
རང་བབས་སུ|as a natural condition/_circumstance (of); in an utterly relaxed manner
རང་མཚན་པ|(to be/_seem) naturally/_inherently endowed with (its own) characteristics; self-justifying/_sustaining/_defining; isc. autonomous; isc. exist in and of itself; isc. (exist) in its own right; isc. to seem entirely legitimate
རང་མཚན་དུ་གྲུབ་པ|to have ever existed in any self-justifying/_sustaining/_autonomous way
རང་མཚན་དུ་མ་གྲུབ་པ|not to have ever existed in any self-justifying/_sustaining/_autonomous way
རང་གནས་ཆེན་པོའི་ཏིང་ངེ་འཛིན|meditative absorption as the supreme state of natural abidin
རང་གི་རིག་པ|(one's own) self-knowing/_cognizing awareness
རང་གི་མཚན་ཉིད|specific defining characteristic
རང་ག་མ|just as it is
རང་ངོས་ནས|in its own right
རང་དབང་བསྒྱུར་བ|to gain/_attain inherent mastery
རང་དབང་སྒྱུར་བ|རང་དབང་བསྒྱུར་བ to gain/_attain inherent mastery
རང་རྒྱུད་པ|(to be inherently endowed with an) autonomous (mindstream); seemingly self-justifying; isc. to exist in its own right
རང་ལུས་ཐབས་ལྡན|one's own body as the (sole) source of skillful means (euph. for gtum mo)
རང་སངས་རྒྱས|རང་རྒྱལ pratyekabuddha/_solitary buddha
རང་ས་ན|རང་སར་། རང་ས་ནས (within/_in) its own/_natural context/_place/_abode; isc. in its own ground
རང་ས་ནས|རང་ས་ན། རང་སར (within/_in) its own/_natural context/_place/_abode; isc. in its own ground
རང་ས་ཟིན་པ|རང་ས་འཛིན་པ། རང་ས་ཟིན་པ། རང་ས་བཟུང་བ། རང་ས་གཟུང་བ to hold to its/_one's own place/_abode/_level; to maintain its natural condition; (its) natural mode is ensured; to retain (its quality/_state of . . .); isc. to stand firm; isc. to gain the natural place (of . . . )
རང་སྟོང་པ|proponent of unqualified emptiness
རང་སར་བཞག་པ|to rest in its own place/_natural state
རང་སར་གྲོལ་བ|free in its own ground/_place
རང་བྱུང་ཆེན་པོ|supreme naturally/_self-occurring nature
རང་བྱུང་གི་ཡེ་ཤེས|naturally/_self-occurring timeless awareness
རང་རང་གི|specific; respective
རང་ངོ་ཤེས་པ|to recognize the very essence; to recognize (something) for what it (truly) is; to recognize the true nature (of something)
རང་ངོ་ན་མེད་པ|not to exist in its own right
རང་ངོ་ན་གསལ་བ|to become evident in its own right
རང་ངོ་རང་གསལ་གྱི|profound insight as the natural lucidity of the very essence (of being)
རང་ཀར་འདུག་པ|to be immediately present
རང་སྣང་རིས་མེད|awareness's own manifestations/_naturally manifest appearances being experienced/_perceived unconditionally/_impartially/_without bias
རང་སྣང་རིས་མེད་ཀྱི་དགོངས་པ|enlightened intent of awareness's own manifestations/_naturally manifest appearances being experienced/_perceived unconditionally/_impartially/_without bias
རང་ཆས་སུ་བཞུགས་པ|present as a natural(ly occurring) quality/_attribute (of being)
རང་ཆས་སུ་ཡོད་པ|present as a natural(ly occurring) quality/_attribute (of being)
རང་ཆས་སུ་གནས་པ|abiding as a natural(ly occurring) quality/_attribute (of being)
རང་སོར་གནས་པ|to rest in naturalness
རང་ཚུགས་ཐུབ་པ|to be self-sustaining
རང་ཐོག་ཏུ|in its/_one's own immediate situation; in all its immediacy
རས་བྲིས|painted cloth; རས་བྲིས་ཀྱི་དཀྱིལ་འཁོར painted cloth (mandala)
རྦ་རླབས|wave
རྦད་པ|རྦོད་པ to incite
རྦོད་པ|རྦད་པ to incite
རྡལ་བ|བརྡལ་བ to spread/_extend
རྡིབ་པ|to collapse/_fall down/_fall in
རྡོ|stone/_rock
རྡོ་ར|རྡོ་རྗེའི་ར་བ vajra fence
རྡོ་རྗེ|vajra; isc. immutable. vajra; indestructible/_immutable/_adamantine
རྡོ་སྐས|staircase; stone staircase (in dance); staircase. རྡོ་རྗེའི་ཐེམ་སྐས vajra staircase; approach runway (in dance)
རྡོ་རྗེ་འཆང|Vajradhara; (sometimes) vajra holder
རྡོ་རྗེ་དབྱིངས|immutable basic space; vajradhatu; vajra/_immutable basic space
རྡོ་རྗེ་གསུམ|three vajras
རྡོ་རྗེ་གསུང|speech vajra
རྡོ་རྗེ་སྐུ|embodiment/_form/_body vajra
རྡོ་རྗེ་ཐུགས|mind vajra
རྡོ་རྗེ་སློབ་དཔོན|vajra master
རྡོ་རྗེ་སྲིན་པོ|bloodthirsty vajra deity
རྡོ་རྗེ་མཁའ་འགྲོ|Vajradakini
རྡོ་རྗེ་སྙིང་པོ|vajra heart (essence)
རྡོ་རྗེ་འཛིན་པ|vajra holder [13th bhumi]
རྡོ་རྗེ་ཐེག་པ|vajrayana
རྡོ་རྗེ་རྒྱ་གྲམ|crossed vajras
རྡོ་རྗེ་རྒྱ་གྲམ་འགྲོས|crossed vajras gait (in dance)
རྡོ་རྗེ་ལུ་གུ་རྒྱུད|vajra continuum (chain formation)*
རྡོ་རྗེའི་ཆིངས|vajra theme/_paradigm
རྡོ་རྗེའི་དབྱིངས|vajradhatu; vajra/_immutable basic space
རྡོ་རྗེའི་གསུང|speech vajra
རྡོ་རྗེའི་རིགས|vajra family
རྡོ་རྗེའི་སྐུ|embodiment/_form/_body vajra
རྡོ་རྗེའི་ཐུགས|mind vajra
རྡོ་རྗེའི་ར་བ|vajra fence
རྡོ་རྗེའི་སྐྱིལ་ཀྲུང|vajra crosslegged posture
རྡོ་རྗེའི་ཐེམ་སྐས|vajra staircase; approach runway (in dance)
རྡོ་རྗེའི་ཐེག་པ|vajrayana
རྡོལ་བ|བརྡོལ་བ to collapse; to well forth/_up
རྡོལ་ཐབས་སུ་སྨྲ་བ|to rave; to speak off the top of one's head/_impulsively/_thoughtlessly
རྡོས་བཅས|corporeal/_material/_solid matter
རྡོས་པ|(what is) corporeal; corporeality; solidity
རྡུག་པ|to be at a loss; to wreck/_undo/_devastate
རྡུལ|rajas; affectedness (rajas); menstrual blood; ovum; molecule; dust; (fig.) flaw
རྡུལ་བྲལ|flawless/_immaculate/_impeccable
རྡུལ་ཕྲན|atom; iota
རྡུལ་ཙམ་མེད|not in the slightest; not even an iota (of); not a shred of . . . ; isc. not at all
རྡུལ་ཕྲན་ཆ་མེད|[mechanistic view] indivisible subatomic particle [reductionist view] no more subatomic particles left to divide
རྡུལ་དུ་བརླག་པ|རྡུལ་དུ་རློག་པ to crush to dust
རྡུལ་དུ་རློག་པ|རྡུལ་དུ་བརླག་པ to crush to dust
རྡུལ་དུ་བརླགས་པ|རྡུལ་དུ་རློག་པ to crush to dust
རྡུལ་ཕྲ་རབ|subatomic particle
རྡུལ་ཚོན་གྱི་དཀྱིལ་འཁོར|colored sand mandala
རྫས|real (substance); (material) substance; substantial entity; (samaya) substance; isc. actual thing itself/_in question
རྫས་འགལ|རྫས་འགལ་བ substantial discrepancy/_contradiction
རྫས་གྲུབ|substantially established; རྫས་སུ་གྲུབ་པ (to be) found to have ever had materiality/_material existence; (to be) established as real/_a substantial entity
རྫས་ཡོད|real/_substantial existence; substantially existent
རྫས་སུ་གྲུབ་པ|substantially established; (to be) found to have ever had materiality/_material existence; (to be) established as real/_a substantial entity
རྫས་ཀྱི་དབང|nominal empowerment through material substances
རྫི་བ|to trample
རྫིང|pond; pool/_pond/_reservoir
རྫིང་བུ|pool/_pond/_reservoir
རྫིས་པ|to trample
རྫོགས་ཆེན|rdzogs pa chen po; རྫོགས་པ་ཆེན་པོ the great perfection approach; great perfection (=nature/_state) [in second case, without definite article]
རྫོགས་ལྡན|རྫོགས་ལྡན་གྱི་དུས age of perfection/_golden age (satyayuga)
རྫོགས་པ|perfect(ion)/_complete(ness)/_completion; to be perfect and/_perfectly complete
རྫོགས་རིམ|རྫོགས་པའི་རིམ་པ stage of completion
རྫོགས་པའི་རིམ་པ|stage of completion
རྫོགས་པ་ཆེན་པོ|the great perfection; the great perfection approach; great perfection (=nature/_state) [in second case, without definite article]
རྫོང|fortress
རྫུ་འཕྲུལ|supernormal/_miraculous power
རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ|(spiritual) miracles based on supernormal powers
རྫུ་འཕྲུལ་གྱི་རྐང་པ|basis of supernormal/_miraculous power(s)
རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞི|four bases of supernormal/_miraculous power(s)
རྫུན་པ|false; false/_untrue; unreal
རྫུན་ཕུག|false structure/_cave
རྫུན་རིས|false impression/_design
རྫུན་ཕུག་གཏིབ་པ|to cause the false structure/_cave to collapse
རྫུན་ཕུག་རྡིབ་པ|to cause the false structure/_cave to collapse
རྫུས་སྐྱེས|rebirth in a miraculous fashion
རེ|. . . (noun +) རེ (adj.) . . . - how/_so (very) . . . !
རེ་བ|hope; expectation
རེ་དོགས|hope and fear; anticipation and anxiety/_apprehension
རེ་ལྟོས|trust/_reliance/_hopes
རེ་རེ|each and every
རེ་སྐོང|(to) fulfill hopes
རེ་ཡུལ|object of hope
རེ་ཞིག|a while; temporar(il)y/_for a while; at times/_occasionally; a bit; at this point
རེ་རེ་ཙམ|a very few
རེག་བྱ|tactile stimulus/_sensation
རེག་པ|.་.་.་གིས་མ་རེག་པ - not/_to be subject to/_influenced by . . .. contact; to touch/_come into contact (with); contact of sense faculty with its object) (one of twelve links of interdependent connection)
རེས་འགའ་བ|occasional; རེས་འགའ་བར occasional(ly)/_temporar(il)y; intermittent(ly); inconsistent(ly); erratic(ally)
རྒ་ཤི|aging and death; aging and death (one of twelve links of interdependent connection)
རྒལ་རྩོད|effective argument [in debate]
རྒོད་པ|(mental) agitation; menacing laughter [one of the nine moods of dance (speech)]; wild(ness)
རྒོལ་བ|to dispute/_argue
རྒུད་པ|decrepitude
རྒྱ་ཆད|(subject to/_defined by) restrictions; arbitrary description; boundary to be imposed; circumscription/_(de)limitation; to be circumscribed/_delimited
རྒྱ་གར|India
རྒྱ་གྲོལ|free of restriction/_(fixed) boundary/_circumscription/_delimitation; unfettered/_unbound; isc. [e.g. kleshas] freed of its restrictive/_restricting influence
རྒྱ་ཁ|encompassing sphere [?]
རྒྱ་མདུད|intricate knot
རྒྱ་མཚོ|ocean; ocean(ic assembly/_host/_array); vast range
རྒྱ་ནག|China
རྒྱ་ཡན|without restrictions; unrestricted/_unconfined/_unrestrained/_unfettered; relaxed expansiveness; with free reign; unconcerned(ly); relaxation of strictures
རྒྱ་མཚོའི་གཟའ་སྐར|reflection of planets and stars in the ocean
རྒྱ་ཆེན་པོ|རྒྱ་ཆེན་པོར vast(ness)/_extensive; on a vast scale
