ཀུད|བཀུ ND.gives as the present of ཀུད.
ལྷགས|Present: ལྷགས CD, DK, DS, TC. \nPast: ལྷགས DK, [DS], TC.\nFuture: ལྷགས DK, [DS], TC.\nImperative: ལྷགས DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning: To approach, to meet, to assemble with other persons CD. To come, approach forcefully DK. To arrive, come DS. To arrive TC.
ལྷན|Present (?): ལྷན (Tournadre & Dorje 2003: 368).\nSyntax: [Abs. Ass.] (Tournadre & Dorje 2003: 368).\nMeaning: To be together (Tournadre & Dorje 2003: 368).
ལྷས|Present: སླ CD. སླེ DS. ལྷེས DS. \nPast: ལྷས CD. ལྷེས [DS]. ལྷས [DS]. \nFuture: ལྷས [DS]. ལྷེས [DS].\nTransitive: DS.\nMeaning: To twist, plait, braid, weave CD. To plait, weave DS.\nNote: Compare with ལྷས and ལྷེ.
ལྷུག|ལྡུག CD, ND. gives as a present of ལྷུག.
ལྷུང|Present: རྟ་དང་གཡང་ས་སོགས་སུ LZ, DK, TC. \nPast: ལྷུངས LZ. ལྷུང DK, TC.\nFuture: ལྷུང LZ, DK, TC.\nImperative: ལྷུངས LZ. ལྷུང DK, TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: ལྷུང LZ.\nMeaning: To fall down DK. To drop, fall TC.
ལྷུད|བླུད ND. gives as the present of ལྡུད.\nNote: Compare also ལྷུད.
ལྷོང|Present: ལྷོངས DK, TC. \nPast: ལྷོང DK, TC.\nFuture: ལྷོངས DK, TC.\nImperative: ལྷོང DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: To be successful, to be accomplished DK. 1. To arrive at and enter into. 2. To be able to stand on its own TC.
ལྷོད|Present: གློད LZ, ND, DS, TC. \nPast: བཅིངས་མདུད་སོགས LZ, [ND], [DS], TC.\nFuture: ལྷོད LZ, [DS], TC.\nImperative: ལྷོད LZ, TC.\nVoluntary: TC. Involuntary:(Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: ལྷོད LZ.\nMeaning: To be at ease, carefree (in though or action) DS. To loosen, relax, slacken TC.\nNote: Compare ལྷོད.
ལྷོན|Present: གློན CD, DS, TC. \nPast: ལྷོན TC.\nFuture: ལྷོན [DS], TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: To return, give pay back CD. 1. To join, place, contact, one thing on another thing. 2. To send a reply, to harm in return for a reply which harms DS. To come, arrive to the ear TC.\nNote: Compare ལྷོན.
བབ|see འབབ
བབས|see འབབ
འབལད|see འབལ
བམས|see བམ
འབངས|see འབང
བངས|see འབང
འབརད|see འབར
བཅབ|see འཆབ
བཅབས|see འཆབ
བཅད|see གཅོད
བཅག|see འཆག
བཅག|see གཅོག
བཅགས|see འཆག
བཅགས|see འཇགས
བཅལ|see འཇལ
བཅམ|see འཆམ
བཅང|see འཆང
བཅངས|see འཆང
བཅརད|see གཅར
བཅརད|see གཅེར
བཅརད|see གཅོར
བཅར|see གཅེར
བཅའ|see འཆའ
བཅའ|see འཆོས
བཅས|see འཆའ
བཅེམས|see བཅེམ
བཅིབ|see འཆིབ
བཅིབས|see འཆིབ
བཅིལད|see འཇིལ
བཅིང|see འཆིང
བཅིངས|see འཆིང
བཅིརད|see འཆིར
བཅིར|see འཆིར
བཅིར|see གཅིར
བཅོལད|see འཆོལ
བཅོལ|see འཆོལ
བཅོམ|see གཞོམ
བཅོམ|see འཇོམས
བཅོ|see འཆོས
བཅོས|see བཅོ
བཅོས|see འཆོས
བཅུག|see གཞུག
བཅུག|see འཇུག
བཅུམས|see འཇུམ
བཅུནད|see འཇུན
བཅུརད|see འཇུར
བཅུར|see འཇུར
བཅུ|see འཆུ
བཅུས|see འཆུ
བདལད|see གདལ
བདལ|see གདལ
བདམ|see འདེམ
བདམས|see བདམ
བདམས|see འདེམ
བདརད|see བདར
བདའ|see འདེད
བདས|see འདེད
བདེག|see ལྡེག
བདུགས|see བདུག
བདུངས|see བདུང
བདུར|see འདུར
བགད|see དགོད
བགོད|see འགོད
བགོམད|see འགོམ
བགོམ|see བསྒོམ
བགོམས|see བསྒོམ
བགོམས|see འགོམ
བགོརད|see འགོར
བགོར|see འགོར
བགོ|see བགོད
བགོས|see བགོ
བགོས|see བགོད
བགོས|see གོ
བགྲང|see བགྲོང
བགྲངས|see བགྲང
བགྲངས|see བགྲོང
བགྲེ|see བགྲེས
བགྲོངས|see བགྲོང
བགྲོས|see བགྲོ
བགྲུངས|see བགྲུང
བགྲུ|see བགྲུད
བགྲུས|see བགྲུད
བགྱང|see འགྱངས
བགྱངས|see འགྱངས
བགྱེད|see འགྱེད
བགྱི|see བགྱིད
བགྱིས|see བགྱིད
བིག|see འབིག
བིགས|see འབིག
བཇིད|see བརྗིད
བཀབ|see འགེབས
བཀད|see འགད
བཀག|see བགག
བཀག|see འགོག
བཀགས|see བགག
བཀལད|see འཁལ
བཀལད|see འཁེལ
བཀལ|see འཁལ
བཀལ|see འཁེལ
བཀནད|see བཀན
བཀང|see འགེང
བཀརད|see དགར
བཀས|see དགས
བཀས|see འགས
བཀླག|see ཀློག
བཀོག|see འགོག
བཀོག|see གོག
བཀོགས|see འགོག
བཀོལད|see འཁོལ
བཀོལ|see འཁོལ
བཀོམས|see བསྒོམ
བཀོནད|see འཁོན
བཀོང|see འགོང
བཀོངས|see བཀོང
བཀོན|see འཁོན
བཀྲབ|see འཁྲབ
བཀྲབས|see བཀྲབ
བཀྲལད|see འགྲེལ
བཀྲམ|see འགྲེམ
བཀྲི|see འཁྲིད
བཀྲིས|see འཁྲིད
བཀྲོལད|see འཁྲོལ
བཀྲོལ|see བཀྲལ
བཀྲོལ|see འགྲོལ
བཀྲོང|see དགྲོང
བཀྲོངས|see དགྲོང
བཀྲུ|see འཁྲུད
བཀྲུས|see འཁྲུད
བཀུག|see གུག
བཀུག|see འགུགས
བཀུམས|see འགུམས
བཀུརད|see བཀུར
བཀུ|see འཁུས
བཀུས|see བཀུ
བཀུས|see འཁུས
བཀྱལད|see འཁྱལ
བཀྱལ|see འཁྱལ
བཀྱེད|see འགྱེད
བཀྱེག|see འཁྱེག
བཀྱེ|see འགྱེད
བཀྱེས|see འགྱེད
བཀྱིག|see འཁྱིག
བཀྱིགས|see འཁྱིག
བཀྱོནད|see བཀྱོན
བླགས|see བླག
བླགས|see ཀློག
བླནད|see བློན
བླང|see ལེན
བླངས|see ལེན
བླན|see བློན
བལྡབས|see ལྡབ
བལྡགས|see ལྡག
བློནད|see བློན
བློངས|see བློང
བལྟབ|see ལྟེབ
བལྟབས|see ལྟེབ
བལྟམ|see ལྟེམས
བལྟམས|see ལྟམ
བལྟམས|see ལྟེམས
བལྟས|see ལྟ
བླུབས|see ཀླུབ
བླུས|see བླུ
བཉགས|see གཉོག
བོབ|see འབབ
འབོད|see འབད
བོད|see འབོད
བོག|see འབོག
འབོགས|see འབོག
འབོལད|see འབལ
བོནད|see བོན
འབོངས|see འབང
བོར|see འབོར
བོ|see འབོ
བོས|see འབོད
བྲབས|see འབྲབ
བྲད|see འདྲད
བྲལད|see འབྲལ
བྲལ|see འབྲལ
བྲནད|see བྲན
འབྲངས|see འབྲང
བརྡབ|see རྡེབ
བརྡབས|see བརྡབ
བརྡབས|see རྡེབ
བརྡལད|see རྡལ
བརྡརད|see རྡར
བརྡས|see བརྡའ
བརྡེགས|see རྡེག
བརྡིབས|see རྡིབ
བརྡོལད|see རྡོལ
བརྡུགས|see རྡུག
བརྡུལད|see རྡུལ
བརྡུངས|see རྡུང
བརྫབ|see རྫོབ
བརྫབས|see རྫོབ
བརྫད|see རྫོད
བརྫང|see རྫོང
བརྫངས|see རྫོང
བརྫེས|see རྫེ
བརྫིས|see རྫི
བརྫུནད|see རྫུན
བརྫུས|see རྫུ
བྲེད|see འབྲེད
འབྲེལད|see འབྲེལ
བྲེལད|see བྲེལ
བྲེ|see འབྲེ
བྲེས|see འབྲ
འབྲེས|see འབྲེ
བྲེས|see འབྲེ
བྲེས|see བྲེ
བརྒལད|see རྒལ
བརྒལད|see རྒོལ
བརྒལ|see རྒོལ
བརྒྱབ|see རྒྱག
བརྒྱག|see རྒྱགས
བརྒྱལད|see བརྒྱལ
བརྒྱནད|see རྒྱན
བརྒྱང|see རྒྱོང
བརྒྱངས|see རྒྱང
བརྒྱངས|see རྒྱོང
བརྒྱོས|see རྒྱོ
བརྒྱུགས|see རྒྱུག
བརྒྱུ|see རྒྱུད
བརྒྱུས|see རྒྱུད
བྲིམས|see འབྲིམ
བྲིནད|see བྲིན
བྲི|see འབྲི
བྲིས|see འབྲི
བརྗེས|see རྗེ
བརྐོནད|see རྐོན
བརྐོས|see རྐོ
བརྐུས|see རྐུ
བརྐྱང|see རྐྱོང
བརྐྱངས|see རྐྱོང
བརླབ|see རློབ
བརླབས|see རློབ
བརླག|see རློག
བརླགས|see བརླག
བརླགས|see རློག
བརླམ|see རློམ
བརླམས|see རླམ
བརླམས|see རློམ
བརླནད|see རླན
བརླནད|see རློན
བརླན|see རློན
བརླིངས|see རླིང
བརློངས|see རློང
བརླུགས|see རླུག
བརྣབས|see རྣབ
བརྣག|see རྣོག
བརྣགས|see བརྣག
བརྣགས|see རྣོག
བརྣནད|see རྣོན
བརྣང|see རྣོང
བརྣངས|see རྣོང
བརྣན|see རྣོན
བརྔབས|see རྔབ
བརྔམས|see རྔམ
བརྔནད|see རྔན
བརྔས|see རྔ
བརྔོནད|see རྔོན
བརྔོས|see རྔོད
བརྔུབས|see རྔུབ
བརྣོབ|see རྣབ
བརྣོགས|see རྣོག
བརྣུརད|see རྣུར
བརྙབ|see རྙོབ
བརྙབས|see རྙོབ
བརྙནད|see རྙན
བརྙང|see རྙོང
བརྙངས|see རྙང
བརྙངས|see རྙོང
བརྙས|see རྙ
བརྙིལད|see རྙིལ
བརྙིངས|see རྙིང
བརྙོགས|see བརྙོག
བརྙོགས|see རྙོག
བརྙོངས|see རྙོང
བྲོབ|see འབྲབ
བྲོད|see འདྲད
བྲོལད|see དབྲོལ
འབྲོངས|see འབྲང
འབྲོངས|see འབྲོང
བྲོངས|see འབྲོང
འབྲོ|see འབྲོས
བྲོས|see འབྲོས
བརྟབས|see རྟབ
བརྟག|see རྟོག
བརྟགས|see རྟོག
བརྟནད|see བརྟན
བརྟ|see རྟས
བརྟེནད|see རྟེན
བརྟིབས|see རྟིབ
བརྟོལད|see རྟོལ
བརྩབས|see རྩབ
བརྩད|see རྩོད
བརྩམ|see རྩོམ
བརྩམས|see རྩོམ
བརྩེགས|see རྩེག
བརྩེངས|see རྩེང
བརྩེས|see བརྩེ
བརྩིགས|see རྩིག
བརྩིས|see རྩི
བརྩོནད|see བརྩོན
བརྩུས|see བརྩུ
བརྟུལད|see རྟུལ
བརྟུནད|see རྟུན
བརྟུངས|see རྟུང
བྲུབ|see འབྲུབ
བྲུབས|see འབྲུབ
བྲུད|see འབྲུད
བྲུགས|see བྲུག
བྲུལད|see འབྲུལ
བྲུལ|see འབྲུལ
བསབ|see གསབ
བསབ|see གསོབ
བསབས|see གསོབ
བསད|see གསོད
བསག|see གསོག
བསགས|see གསོག
བསལད|see སེལ
བསལ|see སེལ
བསམ|see སེམས
བསམས|see སེམས
བསང|see སངས
བསང|see སེང
བསངས|see སེང
བསརད|see གསོར
བསར|see གསོར
བསྡད|see སྡོད
བསྡམ|see སྡོམ
བསྡམས|see སྡོམ
བསྡེབས|see སྡེབ
བསྡིགས|see སྡིག
བསྡོགས|see སྡོག
བསྡོམས|see སྡོམ
བསྡོངས|see སྡོང
བསྡོས|see སྡོ
བསྡུམས|see སྡུམ
བསྡུརད|see སྡུར
བསྡུ|see སྡུད
བསྡུས|see སྡུད
བསེད|see གསེད
བསེགས|see གསེག
བསྒབས|see སྒབ
བསྒག|see སྒོག
བསྒགས|see སྒག
བསྒགས|see སྒོག
བསྒང|see སྒོང
བསྒངས|see སྒོང
བསྒརད|see སྒར
བསྒརད|see སྒོར
བསྒར|see སྒོར
བསྒོམས|see སྒོམ
བསྒོས|see སྒོ
བསྒྲག|see སྒྲོག
བསྒྲགས|see སྒྲོག
བསྒྲལ|see སྒྲོལ
བསྒྲང|see སྒྲོང
བསྒྲངས|see སྒྲོང
བསྒྲེངས|see སྒྲེང
བསྒྲེས|see སྒྲེ
བསྒྲིབས|see སྒྲིབ
བསྒྲིགས|see སྒྲིག
བསྒྲིལད|see སྒྲིལ
བསྒྲིམས|see སྒྲིམ
བསྒྲིནད|see སྒྲིན
བསྒྲོགས|see སྒྲོག
བསྒྲོས|see སྒྲོ
བསྒྲུབས|see སྒྲུབ
བསྒྲུགས|see སྒྲུག
བསྒྲུནད|see སྒྲུན
བསྒྲུངས|see སྒྲུང
བསྒུགས|see སྒུག
བསྒུལད|see སྒུལ
བསྒུརད|see སྒུར
བསྒྱངས|see སྒྱང
བསྒྱེལད|see སྒྱེལ
བསྒྱིངས|see སྒྱིང
བསྒྱོངས|see སྒྱོང
བསྒྱུརད|see སྒྱུར
བཤད|see འཆད
བཤགས|see འཆགས
བཤལད|see བཤལ
བཤལ|see གཤལ
བཤམ|see གཤོམ
བཤམས|see གཤོམ
བཤངས|see བཤང
བཤན|see ཤེན
བཤརད|see གཤར
བཤརད|see གཤོར
བཤར|see གཤར
བཤར|see གཤོར
བཤས|see བཤའ
བཤེརད|see ཤེར
བཤིབས|see བཤིབ
བཤིག|see འཇིག
བཤིགས|see ཤིག
བཤིནད|see གཤིན
བཤིན|see གཤིན
བཤོལད|see ཤོལ
བཤོངས|see གཅོང
བཤོར|see འཆོར
བཤོས|see བཤོ
བཤུད|see གཤུད
བཤུག|see གཤུག
བཤུགས|see གཤུག
བཤུལད|see ཤུལ
བཤུམས|see ཤུམ
བཤུརད|see གཤུར
བཤུར|see གཤུར
བཤུ|see གཤུ
བཤུས|see གཤུ
བསིད|see གསིད
བསིགས|see གསིག
བསིལད|see བསིལ
བསིལད|see གསིལ
བསིང|see གསིང
བསིངས|see གསིང
བསིངས|see སིང
བསིར|see གསིར
བསྐམ|see སྐེམ
བསྐམས|see སྐམ
བསྐམས|see སྐེམ
བསྐང|see སྐོང
བསྐངས|see སྐོང
བསྐོལད|see སྐོལ
བསྐོནད|see སྐོན
བསྐོངས|see སྐོང
བསྐོརད|see སྐོར
བསྐོས|see སྐོ
བསྐྲབ|see སྐྲོབ
བསྐྲབས|see སྐྲབ
བསྐྲབས|see སྐྲོབ
བསྐྲད|see སྐྲོད
བསྐྲིས|see སྐྲི
བསྐྲོགས|see སྐྲོག
བསྐྲོལད|see སྐྲོལ
བསྐྲུནད|see སྐྲུན
བསྐྲུས|see སྐྲུ
བསྐུགས|see སྐུག
བསྐུལད|see སྐུལ
བསྐུམས|see སྐུམ
བསྐུངས|see སྐུང
བསྐུརད|see སྐུར
བསྐུ|see སྐུད
བསྐུས|see སྐུད
བསྐྱལད|see སྐྱེལ
བསྐྱལ|see སྐྱེལ
བསྐྱམ|see སྐྱོམ
བསྐྱམས|see སྐྱོམ
བསྐྱང|see སྐྱོང
བསྐྱངས|see སྐྱོང
བསྐྱར|see སྐྱོར
བསྐྱས|see སྐྱ
བསྐྱེངས|see སྐྱེང
བསྐྱིགས|see སྐྱིག
བསྐྱིལད|see སྐྱིལ
བསྐྱིས|see སྐྱི
བསྐྱོགས|see སྐྱག
བསྐྱོགས|see སྐྱོག
བསྐྱོརད|see སྐྱོར
བསྐྱུད|see སྐྱུང
བསྐྱུགས|see སྐྱུག
བསྐྱུརད|see སྐྱུར
བསླད|see སློད
བསླགས|see སླག
བསླནད|see སླན
བསླནད|see སློན
བསླང|see སློང
བསླངས|see སློང
བསླན|see སློན
བསླས|see སླ
བསླེབས|see སླེབ
བསླེས|see སླེ
བསློགས|see སློག
བསླུས|see སླུ
བསྣལད|see སྣལ
བསྣམ|see སྣོམ
བསྣམས|see སྣོམ
བསྣནད|see སྣོན
བསྣན|see སྣོན
བསྣརད|see སྣར
བསྣེམས|see སྣེམ
བསྔོགས|see སྔོག
བསྔོས|see སྔོ
བསྔུརད|see སྔུར
བསྣོགས|see སྣོག
བསྣོལད|see སྣོལ
བསྣོརད|see སྣོར
བསྣོས|see སྣོ
བསྣུབས|see སྣུབ
བསྣུནད|see སྣུན
བསྣུརད|see སྣུར
བསྙབ|see སྙོབ
བསྙབས|see སྙོབ
བསྙག|see སྙོག
བསྙགས|see སྙག
བསྙགས|see སྙོག
བསྙལད|see སྙལ
བསྙལད|see སྙོལ
བསྙལ|see སྙོལ
བསྙམ|see སྙོམ
བསྙམ|see སྙོམས
བསྙམས|see སྙོམ
བསྙམས|see སྙོམས
བསྙེགས|see སྙེག
བསྙེལད|see སྙེལ
བསྙེམ|see སྙེམས
བསྙེནད|see སྙེན
བསྙེངས|see སྙེང
བསྙེརད|see སྙེར
བསྙེས|see སྙེ
བསྙིགས|see སྙིག
བསྙིལད|see སྙིལ
བསྙོག|see སྙོགས
བསྙོགས|see སྙོག
བསྙོནད|see སྙོན
བསྙོརད|see སྙོར
བསྙུགས|see བསྙུག
བསྙུགས|see སྙུག
བསྙུལད|see སྙུལ
བསྙུནད|see སྙུན
བསྙུངས|see སྙུང
བསོགས|see གསོག
བསོནད|see སོན
བསོ|see གསོ
བསོས|see གསོ
བསྲབས|see སྲབ
བསྲནད|see སྲན
བསྲང|see སྲོང
བསྲངས|see སྲོང
བསྲེགས|see སྲེག
བསྲེལད|see སྲེལ
བསྲེས|see སྲེ
བསྲིབས|see སྲིབ
བསྲིངས|see སྲིང
བསྲིས|see སྲི
བསྲོས|see སྲོ
བསྲུབས|see སྲུབ
བསྲུནད|see སྲུན
བསྲུངས|see སྲུང
བསྟབ|see སྟོབ
བསྟབས|see སྟོབ
བསྟད|see སྟོད
བསྟལད|see སྩེལ
བསྟང|see སྟངས
བསྟང|see སྟོངས
བསྟངས|see སྟོངས
བསྟན|see སྟོན
བསྟརད|see སྟར
བསྟེངས|see སྟེང
བསྟིབས|see སྟིབ
བསྟིམས|see སྟིམ
བསྟིངས|see སྟིང
བསྟིརད|see སྟིར
བསྟིས|see སྟི
བསྟོརད|see སྟོར
བསྩག|see སྩོག
བསྩགས|see སྩོག
བསྩལད|see སྩོལ
བསྩལ|see སྩེལ
བསྩལ|see སྩོལ
བསྟུགས|see སྟུག
བསྟུནད|see བསྟུན
བསྟུནད|see སྟུན
བསྟུངས|see སྟུང
བསུབས|see སུབ
བསུནད|see སུན
བསུརད|see བསུར
བསུས|see བསུ
བཏབ|see འདེབས
བཏག|see འཐག
བཏགས|see འདོག
བཏགས|see འདོགས
བཏགས|see གཏོག
བཏགས|see འཐག
བཏམ|see འདམ
བཏང|see གཏོང
བཏེགས|see འདེགས
བཏིག|see འཐིག
བཏིགས|see འཐིག
བཏིངས|see འདིང
བཏོད|see གཏོད
བཏོག|see འཐོག
བཏོགས|see འཐོག
བཏོལད|see གཏོལ
བཏོན|see འདོན
བཙབ|see གཙབ
བཙབས|see གཙབ
བཙག|see འཚག
བཙགས|see གཙག
བཙགས|see འཚག
བཙལ|see འཚོལ
བཙམ|see འཚམ
བཙམས|see འཚམ
བཙནད|see བཙན
བཙང|see འཚང
བཙངས|see འཚང
བཙས|see བཙའ
བཙེམ|see འཚེམ
བཙེམས|see འཚེམ
བཙིག|see གཙིགས
བཙིགས|see གཙིགས
བཙིརད|see འཚིར
བཙིར|see འཚིར
བཙོག|see འཚོག
བཙོགས|see འཚོག
བཙོང|see འཚོང
བཙོངས|see འཚོང
བཙོ|see འཚོད
བཙོས|see འཚོད
བཙུབས|see གཙུབ
བཙུད|see འཛུད
བཙུག|see འཛུགས
བཙུགས|see གཙུག
བཙུགས|see ཟུག
བཙུམ|see འཛུམས
བཙུམས|see སུམ
བཏུབ|see ཐུབ
བཏུབས|see འཐུབ
བཏུབས|see ཐུབ
བཏུད|see འདུད
བཏུལད|see འཐུལ
བཏུལ|see འདུལ
བཏུང|see འཐུང
བཏུ|see འཐུ
བཏུས|see འཐུ
བུབ|see འབུབ
བུབས|see འབུབ
བུད|see འབུད
བུག|see འབུག
བུགས|see འབུག
བུལད|see བུལ
འབུངས|see འབུང
འབུརད|see འབུར
བུརད|see བུར
འབུས|see འབུ
བུས|see འབུད
བྱབས|see བྱབ
འབྱམས|see འབྱམ
བྱམས|see འབྱམ
བྱངས|see འབྱང
འབྱངས|see འབྱོང
འབྱརད|see འབྱོར
འབྱར|see འབྱོར
བྱ|see བྱེད
བྱས|see བྱེད
བྱེརད|see འབྱེར
བྱེརད|see བྱེར
བྱེར|see འབྱེར
བྱེ|see འབྱེ
བྱིབས|see བྱིབ
བྱིད|see འབྱིད
བྱིལད|see འབྱིལ
བྱིལ|see འབྱིལ
བྱིནད|see སྦྱིན
བྱིང|see འབྱིང
བྱི|see འབྱི
བྱོབས|see བྱབ
འབྱོགས|see འབྱོག
བྱོགས|see འབྱོག
བྱོལད|see འབྱོལ
བྱོལ|see འབྱོལ
བྱོནད|see འབྱོན
བྱོནད|see སྤྱོན
བྱོངས|see འབྱང
འབྱོངས|see འབྱོང
བྱོན|see འབྱོན
འབྱོན|see སྤྱོན
འབྱོརད|see འབྱོར
བྱོ|see བྱེད
བྱོ|see འབྱོ
བྱུག|see འབྱུག
བྱུགས|see འབྱུག
བྱུང|see འབྱུང
བཟནད|see ཟན
བཟརད|see གཟར
བཟར|see འཛར
བཟའ|see ཟ
བཟས|see ཟ
བཟེད|see འཛེད
བཟེད|see གཟེད
བཞབ|see འཇབ
བཞབས|see གཞབས
བཞབས|see འཇབ
བཞག|see འཇོག
བཞགས|see གཞགས
བཞརད|see གཞར
བཞར|see གཞར
བཞེངས|see བཞེང
བཞིབས|see འཇིབ
བཞོབ|see འཇབ
བཞོག|see གཞོག
བཞོག|see འཇོག
བཞོགས|see གཞོག
བཞོལད|see གཞོལ
བཞོལ|see གཞོལ
བཞོནད|see ཞོན
བཞོར|see གཞར
བཞོ|see འཇོ
བཞོས|see འཇོ
བཞུནད|see གཞུན
བཞུན|see གཞུན
བཞུརད|see གཞུར
བཞུར|see གཞུར
བཞུར|see འཇུར
བཞུ|see འཇུ
བཞུས|see འཇུ
བཟིང|see གཟིང
བཟིངས|see གཟིང
བཟླ|see ཟློ
བཟླས|see ཟླ
བཟླས|see ཟློ
བཟློ|see ཟློས
བཟླུགས|see ཟླུག
བཟླུམས|see ཟླུམ
བཟོས|see བཟོ
བཟུང|see འཛིན
བཟུང|see གཟུང
བཟུརད|see འཛུར
ཆད|see འཆད
ཆག|see འཆག
འཆགས|see འཆག
ཆལད|see འཆལ
ཆལ|see འཆལ
འཆམས|see འཆམ
ཆས|see ཆ
ཆེལ|see འཆེལ
འཆེས|see འཆེ
ཆེས|see ཆེ
ཆིབས|see འཆིབ
ཆིངས|see འཆིང
ཆིརད|see འཆིར
ཆིར|see འཆིར
ཆིར|see གཅིར
ཆོབས|see འཆབ
ཆོད|see གཅོད
ཆོག|see འཇགས
ཆོགས|see འཆག
ཆོགས|see འགྱོག
འཆོལད|see འཆོལ
ཆོལད|see འཆོལ
ཆོལ|see འཆོལ
ཆོམས|see གཞོམ
ཆོམས|see འཇོམས
ཆོངས|see འཆང
འཆོ|see འཆའ
འཆོས|see འཆའ
ཆོས|see འཆའ
ཆོས|see ཆ
ཆོས|see འཆོས
ཆུག|see གཞུག
འཆུགས|see འཆུག
ཆུགས|see ཆུག
ཆུགས|see འཇུག
ཆུམ|see འཇུམ
འཆུམས|see འཆུམ
ཆུནད|see འཆུན
ཆུན|see འཆུན
ཆུརད|see འཆུརད
ཆུརད|see གཅུར
འཆུར|see འཆུརད
ཆུར|see འཆུརད
འཆུས|see འཆུ
ཆུས|see འཆུ
ཅིལད|see འཇིལ
ཅོམས|see གཅོམ
ཅུནད|see འཇུན
ཅུརད|see འཇུར
ཅུས|see གཅུ
དག|see འདག
དལད|see འདལ
དལ|see འདལ
འདངས|see འདང
འདརད|see འདར
དརད|see དར
འདས|see འདའ
དབབ|see འབེབས
དབག|see འབགས
དབགས|see འབགས
དབེནད|see དབེན
དབིབ|see འཕིབས
དབིག|see འབིགས
དབོག|see འབོག
དབོག|see འབོགས
དབོགས|see འབགས
དབོལད|see དབོལ
དབོ|see འབོ
དབོས|see འབོ
དབྲབ|see འབྲབ
དབྲད|see འདྲད
དབྲལད|see དབྲོལ
དབྲལ|see དབྲོལ
དབྲལ|see འཕྲལ
དབྲི|see འཕྲི
དབུབ|see འབུབས
དབུད|see འབུད
དབུག|see འབིགས
དབུག|see འབུགས
དབུལད|see དབུལ
དབུལ|see འབུལ
དབུརད|see དབུར
དབུར|see འཕུར
དབྱེནད|see དབྱེན
དབྱེ|see འབྱེད
དབྱི|see འབྱིད
དབྱུགས|see དབྱུག
དབྱུང|see འབྱིན
དེད|see འདེད
འདེམས|see འདེམ
དེངས|see འདེང
དགབ|see འགེབས
དགད|see འགད
དགག|see འགོག
དགལ|see འགེལ
དགང|see འགེང
དགརད|see དགར
དགས|see འགས
དགོད|see འགོད
དགོག|see དགོགས
དགོས|see འཁོ
དགྲམ|see འགྲེམ
དགྲོལ|see འགྲེལ
དགྲོལ|see འགྲོལ
དགུག|see འགུགས
དགུམ|see འགུམས
དཀོན|see དཀོནད
དཀྲིགས|see དཀྲིག
དཀྲིས|see དཀྲི
དཀྲོགས|see དཀྲོག
དཀྲོལ|see འཁྲོལ
དཀྲུགས|see དཀྲུག
དཀྲུམས|see དཀྲུམ
དཀྱུས|see དཀྱུ
དམནད|see དམན
དམས|see དམའ
དམེས|see དམེ
དམོད|see དམད
དམུལད|see དམུལ
དམུརད|see དམུར
དམྱུགས|see དམྱུག
དམྱུགས|see མྱུག
དངངས|see དངང
དངརད|see དངར
དངོམས|see དངོམ
འདོལད|see འདལ
དོནད|see དོན
འདོང|see འདེང
དོང|see འདེང
དོང|see འདོང
དོརད|see འདོར
དོར|see འདོར
དོས|see འདེད
དཔག|see དཔོག
དཔགས|see དཔོག
དཔརད|see དཔར
དཔེནད|see དཔེན
དཕྲོག|see འཕྲོག
དཔོགས|see དཔོག
དཔོརད|see དཔར
དཔྲེས|see དཔྲེ
དཔྱད|see དཔྱོད
དཔྱང|see དཔྱོང
དཔྱངས|see དཔྱོང
དཔྱས|see དཔྱ
དཔྱོངས|see དཔྱོང
དྲགས|see དྲག
དྲལད|see འདྲལ
དྲལ|see འདྲལ
དྲནད|see དྲན
དྲང|see འདྲེན
དྲ|see འདྲ
དྲས|see འདྲ
དྲེག|see འདྲེག
དྲེགས|see འདྲེག
འདྲེནད|see འདྲེན
འདྲེས|see འདྲེ
དྲིད|see འདྲིད
དྲིལད|see འདྲིལ
དྲིལ|see འདྲིལ
དྲི|see འདྲི
དྲིས|see འདྲི
འདྲོགས|see འདྲོག
དྲོལད|see འདྲལ
དྲོནད|see དྲན
འདྲོངས|see བགྲང
དྲོངས|see འདྲེན
འདྲོངས|see འདྲོང
དྲོས|see འདྲ
དྲོས|see དྲོ
དྲུབ|see འདྲུབ
དྲུབས|see འདྲུབ
དྲུད|see འདྲུད
དྲུལ|see འདྲུལ
དྲུམས|see འདྲུམས
དྲུས|see འདྲུ
དུལད|see དུལ
འདུམས|see འདུམ
འདུནད|see འདུན
དུངས|see བདུང
འདུརད|see འདུར
དུརད|see དུར
འདུས|see འདུ
དྭོགས|see དོགས
ཛབ|see འཛབ
འཛབས|see འཛབ
ཛབས|see འཛབ
འཛགས|see འཛག
ཛརད|see འཛར
འཛེགས|see འཛེག
འཛེམས|see འཛེམ
འཛེརད|see འཛེར
ཛེརད|see འཛེར
ཛེར|see འཛེར
འཛིངས|see འཛིང
ཛིརད|see འཛིར
ཛིར|see འཛིར
